distribution.csv	measurementType	measurementValue	measurementRemarks
Arabian Peninsula to Iran	http://eol.org/schema/terms/Present	http://www.geonames.org/6957698	
Cameroon Highlands	http://eol.org/schema/terms/Present	http://www.geonames.org/2233387	
Central Africa (Democratic Republic of Congo, Central African Republic)	http://eol.org/schema/terms/Present	http://www.geonames.org/7729886	
Central southern Africa	http://eol.org/schema/terms/Present	http://eol.org/schema/terms/SouthernCentralAfrica	
Eastern Arc Mountains	http://eol.org/schema/terms/Present	http://eol.org/schema/terms/Eastern_Arc_mountains	
Eastern Arc Mountains: East Usambara Mts	http://eol.org/schema/terms/Present	http://www.geonames.org/10860734	
Eastern Arc Mountains: Introduced	http://eol.org/schema/terms/IntroducedRange	http://eol.org/schema/terms/Eastern_Arc_mountains	
Eastern Arc Mountains: Kimboza	http://eol.org/schema/terms/Present	https://www.geonames.org/157337	
Eastern Arc Mountains: Lower altitudes	http://eol.org/schema/terms/Present	http://eol.org/schema/terms/Eastern_Arc_mountains	Lower altitudes
Eastern Arc Mountains: Mahenge	http://eol.org/schema/terms/Present	https://www.geonames.org/11004341	
Eastern Arc Mountains: Malundwe	http://eol.org/schema/terms/Present	https://www.geonames.org/154999	
Eastern Arc Mountains: Nguru Mts	http://eol.org/schema/terms/Present	https://www.geonames.org/151565	
Eastern Arc Mountains: Nguru Mts (southern)	http://eol.org/schema/terms/Present	https://www.geonames.org/151565	southern
Eastern Arc Mountains: Pare Mts	http://eol.org/schema/terms/Present	https://www.geonames.org/151385	
Eastern Arc Mountains: Rubeho Mts	http://eol.org/schema/terms/Present	https://www.geonames.org/11005633	
Eastern Arc Mountains: South Pare	http://eol.org/schema/terms/Present	http://www.geonames.org/149747	
Eastern Arc Mountains: South Pare Mts	http://eol.org/schema/terms/Present	http://www.geonames.org/149747	
Eastern Arc Mountains: Taita Hills	http://eol.org/schema/terms/Present	http://www.geonames.org/179640	
Eastern Arc Mountains: Udzungwa Mts	http://eol.org/schema/terms/Present	https://www.geonames.org/9587363	
Eastern Arc Mountains: Ukaguru	http://eol.org/schema/terms/Present	https://www.geonames.org/149276	
Eastern Arc Mountains: Ulanga	http://eol.org/schema/terms/Present	https://www.geonames.org/149253	
Eastern Arc Mountains: Uluguru Mts	http://eol.org/schema/terms/Present	https://www.geonames.org/149228	
Eastern Arc Mountains: Uluguru Mts (Kimboza)	http://eol.org/schema/terms/Present	https://www.geonames.org/149228	
Eastern Arc Mountains: Usambara Mts	http://eol.org/schema/terms/Present	https://www.geonames.org/149148	
Eastern Arc Mountains: West Usambara Mts	http://eol.org/schema/terms/Present	https://www.geonames.org/149148	
Equatorial Guinea (Bioko)	http://eol.org/schema/terms/Present	http://www.geonames.org/2309096	(Bioko)
Ethiopia to Zimbabwe	http://eol.org/schema/terms/Present	"http://www.geonames.org/337996, http://www.geonames.org/878675"	
Horn of Africa	http://eol.org/schema/terms/Present	http://www.geonames.org/11820342	
Lake Malawi	http://eol.org/schema/terms/Present	http://www.geonames.org/927384	
Lake Malawi region	http://eol.org/schema/terms/Present	http://www.geonames.org/927384	
Lake Tangan	http://eol.org/schema/terms/Present	http://www.geonames.org/175122	
Lake Tanganyika	http://eol.org/schema/terms/Present	http://www.geonames.org/175122	
Lake Tanganyika region	http://eol.org/schema/terms/Present	http://www.geonames.org/175122	
Lake Tanganyika region (Mbizi)	http://eol.org/schema/terms/Present	http://www.geonames.org/175122	(Mbizi)
Lake Victoria region	http://eol.org/schema/terms/Present	http://www.geonames.org/148996	
Lake Victoria region (possible)	http://eol.org/schema/terms/Present	http://www.geonames.org/148996	(possible)
Madagascar and islands	http://eol.org/schema/terms/Present	http://www.geonames.org/1062947	
Malesia	http://eol.org/schema/terms/Present	http://www.geonames.org/1643084	Malesia
Neotropics	http://eol.org/schema/terms/Present	https://www.wikidata.org/entity/Q217151	
Nigeria to Uganda	http://eol.org/schema/terms/Present	"http://www.geonames.org/2328926, http://www.geonames.org/226074"	
Pemba Island (Ngezi Forest Reserve)	http://eol.org/schema/terms/Present	https://www.geonames.org/150737	
Somalia to Mozambique and Malawi	http://eol.org/schema/terms/Present	"http://www.geonames.org/51537, http://www.geonames.org/1036973, http://www.geonames.org/927384"	
Tanzania to southern Africa	http://eol.org/schema/terms/Present	"http://www.geonames.org/149590, http://www.geonames.org/9406051"	
Zambia-Malawi border	http://eol.org/schema/terms/Present	"http://www.geonames.org/895949, http://www.geonames.org/927384"	
Central Africa	http://eol.org/schema/terms/Present	http://www.geonames.org/7729886	
Central Kenya	http://eol.org/schema/terms/Present	http://www.geonames.org/192950	central Kenya
Central tropical Africa	http://eol.org/schema/terms/Present	http://eol.org/schema/terms/TropicalAfrica	central tropical Africa
coastal Kenya	http://eol.org/schema/terms/Present	http://www.geonames.org/192950	coastal
coastal Mozambique	http://eol.org/schema/terms/Present	http://www.geonames.org/1036973	coastal
coastal Tanzania	http://eol.org/schema/terms/Present	http://www.geonames.org/149590	coastal
"coastal Tanzania (Matumbi Hills, Namakutwa, Ruawa Forest Reserve)"	http://eol.org/schema/terms/Present	http://www.geonames.org/149590	"coastal (Matumbi Hills, Namakutwa, Ruawa Forest Reserve)"
coastal Tanzania (Pande)	http://eol.org/schema/terms/Present	http://www.geonames.org/149590	coastal (Pande)
coastal Tanzania (Pemba)	http://eol.org/schema/terms/Present	http://www.geonames.org/149590	coastal (Pemba)
"coastal Tanzania (Pugu, Kazimzumbwi, Matumbi)"	http://eol.org/schema/terms/Present	http://www.geonames.org/149590	"coastal (Pugu, Kazimzumbwi, Matumbi)"
coastal Eastern Africa	http://eol.org/schema/terms/Present	http://www.geonames.org/7729889	coastal
disjunct to Angola	http://eol.org/schema/terms/Present	http://www.geonames.org/3351879	disjunct population
disjunct to Cameroon	http://eol.org/schema/terms/Present	http://www.geonames.org/2233387	disjunct population
disjunct to Central Africa	http://eol.org/schema/terms/Present	http://www.geonames.org/7729886	disjunct population
disjunct to Sao Tomð	http://eol.org/schema/terms/Present	http://www.geonames.org/2410764	disjunct population
disjunct to Uganda	http://eol.org/schema/terms/Present	http://www.geonames.org/226074	disjunct population
disjunct to Central and western Africa	http://eol.org/schema/terms/Present	"http://www.geonames.org/7729886, http://www.geonames.org/7729885"	disjunct population
disjunct to South tropical Africa	http://eol.org/schema/terms/Present	http://eol.org/schema/terms/TropicalAfrica	"disjunct population, Southern Tropical Africa"
disjunct to western Africa	http://eol.org/schema/terms/Present	http://www.geonames.org/7729885	disjunct population
East-Central Africa	http://eol.org/schema/terms/Present	http://www.geonames.org/7729889	East-central
Eastern Africa	http://eol.org/schema/terms/Present	http://www.geonames.org/7729889	
Eastern Democratic Republic of Congo	http://eol.org/schema/terms/Present	http://www.wikidata.org/entity/Q974	Eastern
Eastern Kenya	http://eol.org/schema/terms/Present	http://www.geonames.org/192950	Eastern
Eastern tropical Africa	http://eol.org/schema/terms/Present	http://eol.org/schema/terms/TropicalAfrica	Eastern
