species,genus,binom,family,order,class
sylvaticum,Geranium,Geranium sylvaticum,Geraniaceae,Geraniales,Magnoliopsida
odoratum,Anthoxanthum,Anthoxanthum odoratum,Poaceae,Poales,NA
hordaceus,Bromus,Bromus hordaceus,Poaceae,Poales,NA
capillaris,Agrostis,Agrostis capillaris,Poaceae,Poales,Liliopsida
glomerata,Dactylis,Dactylis glomerata,Poaceae,Poales,Liliopsida
rubra,Festuca,Festuca rubra,Poaceae,Poales,Liliopsida
perenne,Lolium,Lolium perenne,Poaceae,Poales,Liliopsida
trivialis,Poa,Poa trivialis,Poaceae,Poales,NA
acris,Ranunculus,Ranunculus acris,Ranunculaceae,Ranunculales,NA
acetosa,Rumex,Rumex acetosa,Polygonaceae,Caryophyllales,NA
officinalis,Sanguisorba,Sanguisorba officinalis,Rosaceae,Rosales,NA
officinale,Taraxacum,Taraxacum officinale,Asteraceae,Asterales,Magnoliopsida
perennis,Bellis,Bellis perennis,Asteraceae,Asterales,Magnoliopsida
pratensis,Festuca,Festuca pratensis,Poaceae,Poales,Liliopsida
pratensis,Alopecurus,Alopecurus pratensis,Poaceae,Poales,Liliopsida
lanatus,Holcus,Holcus lanatus,Poaceae,Poales,NA
lanceolata,Plantago,Plantago lanceolata,Plantaginaceae,Lamiales,NA
cristatus,Cynosurus,Cynosurus cristatus,Poaceae,Poales,NA
heterophyllum,Cirsium,Cirsium heterophyllum,Asteraceae,Asterales,Magnoliopsida
bernicula,Branta,Branta bernicula,Anatidae,Anseriformes,Aves
pratense,Phleum,Phleum pratense,Poaceae,Poales,Liliopsida
repens,Trifolium,Trifolium repens,Fabaceae,Fabales,Magnoliopsida
helmsii,Crassula,Crassula helmsii,Crassulaceae,Saxifragales,Magnoliopsida
caerulea,Molinia,Molinia caerulea,Poaceae,Poales,Liliopsida
vulgaris,Calluna,Calluna vulgaris,Ericaceae,Ericales,Magnoliopsida
vulgaris,Triturus,Triturus vulgaris,Poaceae,Poales,Liliopsida
monogyna,Crataegus,Crataegus monogyna,Rosaceae,Rosales,Magnoliopsida
cuniculus,Oryctolagus,Oryctolagus cuniculus,Leporidae,Lagomorpha,NA
bufo,Bufo,Bufo bufo,Bufonidae,Anura,Amphibia
arvense,Cirsium,Cirsium arvense,Asteraceae,Asterales,Magnoliopsida
punctiformis,Puccinia,Puccinia punctiformis,NA,NA,NA
martes,Martes,Martes martes,Mustelidae,Carnivora,Mammalia
cerris,Quercus,Quercus cerris,Fagaceae,Fagales,NA
major,Parus,Parus major,Paridae,Passeriformes,Aves
NA,Par,Par ,NA,NA,NA
NA,NA,NA,Pomacentrinae,Ovalentaria,Actinopterygii
integrifolius,Cotoneaster,Cotoneaster integrifolius,Rosaceae,Rosales,Magnoliopsida
fruticosus,Rubus,Rubus fruticosus,Rosaceae,Rosales,Magnoliopsida
jacobaea,Senecio,Senecio jacobaea,Asteraceae,Asterales,Magnoliopsida
helix,Hedera,Hedera helix,Araliaceae,Apiales,Magnoliopsida
ponticum,Rhododendron,Rhododendron ponticum,Ericaceae,Ericales,Magnoliopsida
NA,Rhododendr,Rhododendr ,NA,NA,NA
ovalis,Carex,Carex ovalis,Cyperaceae,Poales,Liliopsida
pubescens,Avenula,Avenula pubescens,Poaceae,Poales,Liliopsida
ovata,Listera,Listera ovata,Orchidaceae,Asparagales,Liliopsida
minor,Rhinanthus,Rhinanthus minor,Orobanchaceae,Lamiales,Magnoliopsida
berus,Vipera,Vipera berus,Viperidae,Squamata,Reptilia
ootoca,Lacerta,Lacerta ootoca,NA,NA,NA
fragilis,Angius,Angius fragilis,NA,NA,NA
buteo,Buteo,Buteo buteo,Buteo,Accipitriformes,Aves
agrestis,Microtus,Microtus agrestis,Cricetidae,Rodentia,Mammalia
robur,Quercus,Quercus robur,Fagaceae,Fagales,NA
excelsior,Fraxinus,Fraxinus excelsior,Oleaceae,Lamiales,NA
caerulea,Mollinia,Mollinia caerulea,NA,NA,NA
polygonifolius,Potamogeton,Potamogeton polygonifolius,Potamogetonaceae,Alismatales,Liliopsida
acutiformis,Juncus,Juncus acutiformis,Juncaceae,Poales,Magnoliopsida
elodes,Hypericum,Hypericum elodes,Hypericaceae,Malpighiales,Magnoliopsida
NA,Querc,Querc ,NA,NA,NA
NA,Castan,Castan ,NA,NA,NA
hircus,Capra,Capra hircus,Bovidae,Artiodactyla,Mammalia
NA,Ast,Ast ,NA,NA,NA
argentatus,Larus,Larus argentatus,Laridae,Charadriiformes,Aves
arctica,Fratercula,Fratercula arctica,Alcidae,Charadriiformes,Aves
NA,Lar,Lar ,NA,NA,NA
olor,Cygnus,Cygnus olor,Anatidae,Anseriformes,Aves
maniculatus,Peromyscus,Peromyscus maniculatus,Cricetidae,Rodentia,Mammalia
pennsylvanicus,Microtus,Microtus pennsylvanicus,Cricetidae,Rodentia,Mammalia
gapperi,Clethrionomys,Clethrionomys gapperi,NA,NA,NA
praecox,Thymus,Thymus praecox,Lamiaceae,Lamiales,Magnoliopsida
acaulis,Silene,Silene acaulis,Caryophyllaceae,Caryophyllales,Magnoliopsida
normanii,Galium,Galium normanii,Rubiaceae,Gentianales,Magnoliopsida
richardsonii,Festuca,Festuca richardsonii,Poaceae,Poales,Liliopsida
stolonifera,Agrostis,Agrostis stolonifera,Poaceae,Poales,Liliopsida
ericoides,Racomitrium,Racomitrium ericoides,Grimmiaceae,Grimmiales,Bryopsida
papillosum,Schistidium,Schistidium papillosum,Grimmiaceae,Grimmiales,Bryopsida
pratensis,Succisa,Succisa pratensis,Caprifoliaceae,Dipsacales,Magnoliopsida
stricta,Nardus,Nardus stricta,Poaceae,Poales,Liliopsida
tetralix,Erica,Erica tetralix,Ericaceae,Ericales,NA
dissectum,Cirsium,Cirsium dissectum,Asteraceae,Asterales,Magnoliopsida
intermedia,Drosera,Drosera intermedia,Droseraceae,Caryophyllales,Magnoliopsida
NA,Sal,Sal ,NA,NA,NA
NA,Aln,Aln ,NA,NA,NA
avellanarius,Muscardinus,Muscardinus avellanarius,Muscidae,Diptera,NA
avellana,Corylus,Corylus avellana,Betulaceae,Fagales,NA
periclymenum,Lonicera,Lonicera periclymenum,Caprifoliaceae,Dipsacales,Magnoliopsida 
caerulescens,Anser,Anser caerulescens,Anatidae,Anseriformes,Aves
phryganodes,Puccinellia,Puccinellia phryganodes,Poaceae,Poales,Liliopsida
subspathacea,Carex,Carex subspathacea,Cyperaceae,Poales,Liliopsida
vulgaris,Pinguicula,Pinguicula vulgaris,Lentibulariaceae,Lamiales,Magnoliopsida
lagopus,Lagopus,Lagopus lagopus,Phasianidae,Galliformes,Aves
capreolus,Capreolus,Capreolus capreolus,Cervidae,Artiodactyla,Mammalia
ovina,Festuca,Festuca ovina,Poaceae,Poales,Liliopsida
saxatile,Galium,Galium saxatile,Rubiaceae,Gentianales,Magnoliopsida
effusus,Juncus,Juncus effusus,Juncaceae,Poales,Magnoliopsida
palustre,Galium,Galium palustre,Rubiaceae,Gentianales,Magnoliopsida
dioica,Carex,Carex dioica,Cyperaceae,Poales,Liliopsida
commutatum,Cratoneurone,Cratoneurone commutatum,NA,NA,NA
nigra,Carex,Carex nigra,Cyperaceae,Poales,Liliopsida
diandra,Carex,Carex diandra,Cyperaceae,Poales,Liliopsida
latifolium,Eriophorum,Eriophorum latifolium,Cyperaceae,Poales,NA
catharticum,Linum,Linum catharticum,Linaceae,Malpighiales,NA
flos,Lychnis,Lychnis flos,Caryophyllaceae,Caryophyllales,Magnoliopsida
europaeus,Trollius,Trollius europaeus,Ranunculaceae,Ranunculales,Magnoliopsida
mascula,Orchis,Orchis mascula,Orchidaceae,Asparagales,Liliopsida
selaginoides,Selaginella,Selaginella selaginoides,Selaginellaceae,Selaginellales,Lycopodiopsida
NA,Junc,Junc ,NA,NA,NA
flexuosa,Deschampsia,Deschampsia flexuosa,Poaceae,Poales,Liliopsida
sylvestris,Pinus,Pinus sylvestris,Pinaceae,Pinales,Pinopsida
pendula,Betula,Betula pendula,Betuloideae,Fagales,Magnoliopsida
repens,Elymus,Elymus repens,Poaceae,Poales,Liliopsida
dioica,Urtica,Urtica dioica,Urticaceae,Rosales,NA
album,Chenopodium,Chenopodium album,Amaranthaceae,Caryophyllales,NA
crus,Echinochloa,Echinochloa crus,Poaceae,Poales,Liliopsida
nigrum,Solanum,Solanum nigrum,Solanaceae,Solanales,Magnoliopsida
multiflorum,Lolium,Lolium multiflorum,Poaceae,Poales,Liliopsida
