resource name	resource url	new source ending
Ireland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ireland.tar.gz	&country=IE
Israel Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_israel.tar.gz	&country=IL
Ivory Coast Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ivorycoast.tar.gz	&country=CI
Italy Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_italy.tar.gz	&country=IT
Jamaica Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_jamaica.tar.gz	&country=JM
Jordan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_jordan.tar.gz	&country=JO
Kazakhstan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kazakhstan.tar.gz	&country=KZ
Kenya Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kenya.tar.gz	&country=KE
Kiribati Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kiribati.tar.gz	&country=KI
Kuwait Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kuwait.tar.gz	&country=KW
Kyrgyzstan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kyrgyzstan.tar.gz	&country=KG
Laos Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_laos.tar.gz	&country=LA
Latvia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_latvia.tar.gz	&country=LV
Lebanon Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lebanon.tar.gz	&country=LB
Lesotho Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lesotho.tar.gz	&country=LS
Liberia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_liberia.tar.gz	&country=LR
Libya Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_libya.tar.gz	&country=LY
Liechtenstein Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_liechtenstein.tar.gz	&country=LI
Lithuania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lithuania.tar.gz	&country=LT
Luxembourg Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_luxembourg.tar.gz	&country=LU
Macau Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_macau.tar.gz	&country=MO
Madagascar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_madagascar.tar.gz	&country=MG
Malawi Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_malawi.tar.gz	&country=MW
Malaysia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_malaysia.tar.gz	&country=MY
Maldives Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_maldives.tar.gz	&country=MV
Mali Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mali.tar.gz	&country=ML
Marshall Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_marshallislands.tar.gz	&country=MH
Mauritania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mauritania.tar.gz	&country=MR
Mauritius Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mauritius.tar.gz	&country=MU
Moldova Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_moldova.tar.gz	&country=MD
Monaco Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_monaco.tar.gz	&country=MC
Mongolia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mongolia.tar.gz	&country=MN
Montenegro Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_montenegro.tar.gz	&country=ME
Morocco Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_morocco.tar.gz	&country=MA
Mozambique Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mozambique.tar.gz	&country=MZ
Myanmar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_myanmar.tar.gz	&country=MM
Namibia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_namibia.tar.gz	&country=NA
Nauru Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nauru.tar.gz	&country=NR
Nepal Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nepal.tar.gz	&country=NP
The Netherlands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_netherlands.tar.gz	&country=NL
New Zealand Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_newzealand.tar.gz	&country=NZ
Nicaragua Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nicaragua.tar.gz	&country=NI
Niger Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_niger.tar.gz	&country=NE
Nigeria Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nigeria.tar.gz	&country=NG
Niue	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_niue.tar.gz	&country=NU
North Korean Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_northkorea.tar.gz	&country=KP
Norway Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_norway.tar.gz	&country=NO
Oman Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_oman.tar.gz	&country=OM
Pakistan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_pakistan.tar.gz	&country=PK
Palau Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_palau.tar.gz	&country=PW
Palestine Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_palestine.tar.gz	&country=PS
Panama Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_panama.tar.gz	&country=PA
Papua New Guinea Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_papuanewguinea.tar.gz	&country=PG
Paraguay Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_paraguay.tar.gz	&country=PY
Peru Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_peru.tar.gz	&country=PE
Poland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_poland.tar.gz	&country=PL
Portugal Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_portugal.tar.gz	&country=PT
