Taxon URL	Ancestry	Scientific Name	Common Name	Author Name
323858	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Monotremata | Ornithorhynchidae | Ornithorhynchus	<i>Ornithorhynchus anatinus</i>	Platypus	
20831246	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Multituberculata | Neoplagiaulacidae | Parikimys	<i>Parikimys carpenteri</i>		Wilson et al.
997407	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | Proboscidea | Elephantidae | Elephas	<i>Elephas maximus</i>	Asiatic Elephant	
289808	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | Proboscidea | Elephantidae | Loxodonta	<i>Loxodonta africana</i>	African Bush Elephant	
4526022	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | unplaced extinct Afrotheria	Anthracobunidae		
4526581	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | unplaced extinct Afrotheria | Desmostylia | Paleoparadoxiidae	Paleoparadoxia		Reinhart
4526575	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | unplaced extinct Afrotheria | Desmostylia	Desmostylidae		
10685247	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | unplaced extinct Afrotheria | Desmostylia | Desmostylidae | Kronokotherium	<i>Kronokotherium brevimaxillare</i>		Pronina
1178673	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | Afrosoricida | Tenrecidae | Echinops	<i>Echinops telfairi</i>	Lesser Hedgehog Tenrec	Martin
1178671	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | Afrosoricida | Tenrecidae | Micropotamogale	<i>Micropotamogale ruwenzorii</i>		de Witte; Frechkop
1178655	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | Afrosoricida | Tenrecidae | Geogale	<i>Geogale aurita</i>	Large-eared tenrec	Milne-Edwards; A. Grandidier
1178675	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | Afrosoricida | Tenrecidae | Setifer	<i>Setifer setosus</i>		Schreber
1178676	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Afrotheria | Afrosoricida | Tenrecidae | Tenrec	<i>Tenrec ecaudatus</i>		
4471401	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Mylodontidae	Thinobadistes		Hay
328522	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Megalonychidae | Choloepus	<i>Choloepus hoffmanni</i>	Hoffmann's Two-toed Sloth	
328521	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Megalonychidae | Choloepus	<i>Choloepus didactylus</i>		
24207963	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Megalonychidae | Ahytherium	<i>Ahytherium aureum</i>		Cartelle et al.
4471298	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Megalonychidae	Pliometanastes		Hirschfeld; Webb
328518	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Bradypodidae | Bradypus	<i>Bradypus variegatus</i>	Brown-throated Three-toed Sloth	
129534	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Bradypodidae | Bradypus	<i>Bradypus tridactylus</i>	pale-throated sloth	
129533	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Xenarthra | Pilosa | Folivora | Bradypodidae | Bradypus	<i>Bradypus torquatus</i>	Maned sloth	Illiger
