Taxon ID	Ancestry	Scientific Name	Author Name
1642	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia	Mammalia	
42335219	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | unplaced extinct Mammalia | Docodonta | Docodontidae	Diplocynodon	Marsh
129527	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Paucituberculata | Caenolestidae | Rhyncholestes	Rhyncholestes raphanurus	Osgood
308516	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Monodelphis	Monodelphis adusta	Thomas
308510	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Monodelphis	Monodelphis kunsi	Pine
1036090	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Monodelphis	Monodelphis palliolata	Osgood
1039323	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Monodelphis	Monodelphis emiliae	Thomas
289603	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Chironectes	Chironectes minimus	Zimmermann
328504	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Didelphis	Didelphis marsupialis	
999301	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Marmosa	Marmosa robinsoni	Bangs
308518	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Metachirus	Metachirus nudicaudatus	
1040871	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Micoureus	Micoureus phaeus	Thomas
129540	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Thylamys	Thylamys pallidior	Thomas
311950	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Thylamys	Thylamys tatei	Handley
311949	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Thylamys	Thylamys sponsorius	Thomas
1040857	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Thylamys	Thylamys venustus	Thomas
1179470	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Thylamys	Thylamys elegans	Waterhouse
129539	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Philander	Philander opossum	Linnaeus
289800	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Marmosops	Marmosops incanus	Lund
122355	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Caluromys	Caluromys derbianus	
133312	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Didelphidae | Caluromys	Caluromys philander	Linnaeus
4529021	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Didelphimorphia | Stagodontidae	Eodelphis	Matthew
981577	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Vombatiformes | Vombatidae | Vombatus	Vombatus ursinus	Shaw
311160	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Hypsiprymnodontidae | Hypsiprymnodon	Hypsiprymnodon moschatus	Ramsay
128423	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Potoroidae | Bettongia	Bettongia gaimardi	Desmarest
47048643	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Potoroidae | Bettongia	Bettongia lesueur	Quoy; Gaimard
128424	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Potoroidae | Aepyprymnus	Aepyprymnus rufescens	Gray
311173	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Potoroidae | Potorous	Potorous tridactylus	Kerr
310755	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Macropodidae | Wallabia	Wallabia bicolor	Desmarest
325819	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Macropodidae | Dendrolagus	Dendrolagus ursinus	Temminck
325814	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Macropodidae | Dendrolagus	Dendrolagus inustus	
325813	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Macropodidae | Dendrolagus	Dendrolagus goodfellowi	Thomas
325811	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Macropodidae | Dendrolagus	Dendrolagus bennettianus	De Vis
325818	Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Reptiliomorpha | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Metatheria | Marsupialia | Australidelphia | Diprotodontia | Macropodiformes | Macropodoidea | Macropodidae | Dendrolagus	Dendrolagus spadix	Troughton; Le Souef
