Results for: (Life form = Animals = All ) 
Acronym,Link,Scientific Name,Common Name,Review Date,Fire Study Availability,Fire Regime Availability
ACAL,https://www.fs.fed.us/database/feis/animals/arthropod/acal/all.html,Acronicta albarufa,barrens dagger moth,2008,Not Available,Available
ACGE,https://www.fs.fed.us/database/feis/animals/bird/acge/all.html,Accipiter gentilis,northern goshawk,2013,Not Available,Available
ACST,https://www.fs.fed.us/database/feis/animals/bird/acst/all.html,Accipiter striatus,sharp-shinned hawk,1994,Not Available,Available
AIAE,https://www.fs.fed.us/database/feis/animals/bird/aiae/all.html,Aimophila aestivalis,Bachman's sparrow,2006,Not Available,Available
AISP,https://www.fs.fed.us/database/feis/animals/bird/aisp/all.html,Aix sponsa,wood duck,1993,Not Available,Available
ALAM,https://www.fs.fed.us/database/feis/animals/mammal/alam/all.html,Alces americanus,moose,2010,Not Available,Available
ALCH,https://www.fs.fed.us/database/feis/animals/bird/alch/all.html,Alectoris chukar,chukar,1994,Not Available,Available
AMMA,https://www.fs.fed.us/database/feis/animals/amphibian/amma/all.html,Ambystoma macrodactylum,long-toed salamander,1997,Not Available,Available
ANAC,https://www.fs.fed.us/database/feis/animals/bird/anac/all.html,Anas acuta,northern pintail,1993,Not Available,Available
ANAL,https://www.fs.fed.us/database/feis/animals/bird/anal/all.html,Anser albifrons,greater white-fronted goose,1993,Not Available,Available
ANAM,https://www.fs.fed.us/database/feis/animals/mammal/anam/all.html,Antilocapra americana,pronghorn,1995,Not Available,Available
ANBO,https://www.fs.fed.us/database/feis/animals/amphibian/anbo/all.html,Anaxyrus boreas,western toad,1994,Not Available,Available
ANCR,https://www.fs.fed.us/database/feis/animals/bird/ancr/all.html,Anas crecca,green-winged teal,1993,Not Available,Available
ANDI,https://www.fs.fed.us/database/feis/animals/bird/andi/all.html,Anas discors,blue-winged teal,1993,Not Available,Available
ANPL,https://www.fs.fed.us/database/feis/animals/bird/anpl/all.html,Anas platyrhynchos,mallard,1993,Available,Available
ANRU,https://www.fs.fed.us/database/feis/animals/bird/anru/all.html,Anas rubripes,American black duck,1993,Not Available,Available
ANST,https://www.fs.fed.us/database/feis/animals/bird/anst/all.html,Anas strepera,gadwall,1993,Not Available,Available
