Results for: (Life form = Plants = All ) 
Acronym,Link,Scientific Name,Common Name,Review Date,Fire Study Availability,Fire Regime Availability
ABIAMA,https://www.fs.fed.us/database/feis/plants/tree/abiama/all.html,Abies amabilis,Pacific silver fir,1992,Not Available,Available
ABIBAL,https://www.fs.fed.us/database/feis/plants/tree/abibal/all.html,Abies balsamea,balsam fir,1991,Not Available,Available
ABIBRA,https://www.fs.fed.us/database/feis/plants/tree/abibra/all.html,Abies bracteata,bristlecone fir,1993,Not Available,Available
ABICON,https://www.fs.fed.us/database/feis/plants/tree/abicon/all.html,Abies concolor,white fir,2001,Available,Available
ABIFRA,https://www.fs.fed.us/database/feis/plants/tree/abifra/all.html,Abies fraseri,Fraser fir,1993,Not Available,Available
ABIGRA,https://www.fs.fed.us/database/feis/plants/tree/abigra/all.html,Abies grandis,grand fir,2000,Available,Available
ABILAS,https://www.fs.fed.us/database/feis/plants/tree/abilas/all.html,Abies lasiocarpa,subalpine fir,1991,Not Available,Available
ABIMAG,https://www.fs.fed.us/database/feis/plants/tree/abimag/all.html,Abies magnifica,California red fir,1993,Not Available,Available
ABIPRO,https://www.fs.fed.us/database/feis/plants/tree/abipro/all.html,Abies procera,noble fir,1993,Not Available,Available
ACAILI,https://www.fs.fed.us/database/feis/plants/forb/acaili/all.html,Acanthomintha ilicifolia,San Diego thorn-mint,2006,Not Available,Available
ACASPH,https://www.fs.fed.us/database/feis/plants/shrub/acasph/all.html,Acamptopappus sphaerocephalus,rayless goldenhead,1991,Not Available,Available
ACECIR,https://www.fs.fed.us/database/feis/plants/shrub/acecir/all.html,Acer circinatum,vine maple,1989,Available,Available
ACEGLA,https://www.fs.fed.us/database/feis/plants/shrub/acegla/all.html,Acer glabrum,Rocky Mountain maple,2001,Available,Available
ACEGRA,https://www.fs.fed.us/database/feis/plants/tree/acegra/all.html,Acer grandidentatum,bigtooth maple,2006,Not Available,Available
ACEMAC,https://www.fs.fed.us/database/feis/plants/tree/acemac/all.html,Acer macrophyllum,bigleaf maple,2011,Available,Available
ACENEG,https://www.fs.fed.us/database/feis/plants/tree/aceneg/all.html,Acer negundo,boxelder,1988,Available,Available
ACEPEN,https://www.fs.fed.us/database/feis/plants/tree/acepen/all.html,Acer pensylvanicum,striped maple,1993,Available,Available
ACEPLA,https://www.fs.fed.us/database/feis/plants/tree/acepla/all.html,Acer platanoides,Norway maple,2003,Not Available,Available
ACERUB,https://www.fs.fed.us/database/feis/plants/tree/acerub/all.html,Acer rubrum,red maple,1991,Available,Available
ACESAC,https://www.fs.fed.us/database/feis/plants/tree/acesac/all.html,Acer saccharum,sugar maple,1991,Available,Available
ACESAH,https://www.fs.fed.us/database/feis/plants/tree/acesah/all.html,Acer saccharinum,silver maple,1994,Not Available,Available
ACESPI,https://www.fs.fed.us/database/feis/plants/shrub/acespi/all.html,Acer spicatum,mountain maple,1993,Not Available,Available
ACHHYM,https://www.fs.fed.us/database/feis/plants/graminoid/achhym/all.html,Achnatherum hymenoides,Indian ricegrass,1999,Available,Available
ACHLET,https://www.fs.fed.us/database/feis/plants/graminoid/achlet/all.html,Achnatherum lettermanii,Letterman's needlegrass,2000,Available,Available
ACHMIL,https://www.fs.fed.us/database/feis/plants/forb/achmil/all.html,Achillea millefolium,common yarrow,1999,Available,Available
ACHNEL,https://www.fs.fed.us/database/feis/plants/graminoid/achnel/all.html,Achnatherum nelsonii,Columbia needlegrass,2000,Not Available,Available
ACHRIC,https://www.fs.fed.us/database/feis/plants/graminoid/achric/all.html,Achnatherum richardsonii,Richardson's needlegrass,1992,Available,Available
ACHSPE,https://www.fs.fed.us/database/feis/plants/graminoid/achspe/all.html,Achnatherum speciosum,desert needlegrass,1993,Not Available,Available
ACHTHU,https://www.fs.fed.us/database/feis/plants/graminoid/achthu/all.html,Achnatherum thurberianum,Thurber needlegrass,2000,Available,Available
ACRREP,https://www.fs.fed.us/database/feis/plants/forb/acrrep/all.html,Acroptilon repens,Russian knapweed,2001,Not Available,Available
ACTRUB,https://www.fs.fed.us/database/feis/plants/forb/actrub/all.html,Actaea rubra,red baneberry,1990,Available,Available
ADEFAS,https://www.fs.fed.us/database/feis/plants/shrub/adefas/all.html,Adenostoma fasciculatum,chamise,1990,Not Available,Available
ADESPA,https://www.fs.fed.us/database/feis/plants/shrub/adespa/all.html,Adenostoma sparsifolium,red shank,1993,Not Available,Available
AEGPOD,https://www.fs.fed.us/database/feis/plants/forb/aegpod/all.html,Aegopodium podagraria,bishop's goutweed,2009,Not Available,Available
AESCAL,https://www.fs.fed.us/database/feis/plants/tree/aescal/all.html,Aesculus californica,California buckeye,1992,Available,Available
AGACUS,https://www.fs.fed.us/database/feis/plants/forb/agacus/all.html,Agastache cusickii,Cusick's giant hyssop,1993,Not Available,Available
AGALEC,https://www.fs.fed.us/database/feis/plants/shrub/agalec/all.html,Agave lechuguilla,lechuguilla,2006,Not Available,Available
AGRCRI,https://www.fs.fed.us/database/feis/plants/graminoid/agrcri/all.html,Agropyron cristatum,crested wheatgrass,1999,Not Available,Available
AGRDES,https://www.fs.fed.us/database/feis/plants/graminoid/agrdes/all.html,Agropyron desertorum,desert wheatgrass,1999,Not Available,Available
AGREXA,https://www.fs.fed.us/database/feis/plants/graminoid/agrexa/all.html,Agrostis exarata,spike bentgrass,1994,Not Available,Available
AGRGIG,https://www.fs.fed.us/database/feis/plants/graminoid/agrgig/all.html,Agrostis gigantea,redtop,1995,Available,Available
AGRSCA,https://www.fs.fed.us/database/feis/plants/graminoid/agrsca/all.html,Agrostis scabra,ticklegrass,1992,Available,Available
AGRSTO,https://www.fs.fed.us/database/feis/plants/graminoid/agrsto/all.html,Agrostis stolonifera,creeping bentgrass,1994,Not Available,Available
AILALT,https://www.fs.fed.us/database/feis/plants/tree/ailalt/all.html,Ailanthus altissima,tree-of-heaven,2010,Not Available,Available
ALBJUL,https://www.fs.fed.us/database/feis/plants/tree/albjul/all.html,Albizia julibrissin,silktree,2010,Not Available,Available
ALLPET,https://www.fs.fed.us/database/feis/plants/forb/allpet/all.html,Alliaria petiolata,garlic mustard,2001,Available,Available
ALNINC,https://www.fs.fed.us/database/feis/plants/tree/alninc/all.html,Alnus incana,gray alder,2011,Available,Available
ALNRHO,https://www.fs.fed.us/database/feis/plants/tree/alnrho/all.html,Alnus rhombifolia,white alder,2014,Not Available,Available
ALNRUB,https://www.fs.fed.us/database/feis/plants/tree/alnrub/all.html,Alnus rubra,red alder,1989,Not Available,Available
ALNVIRC,https://www.fs.fed.us/database/feis/plants/shrub/alnvirc/all.html,Alnus viridis subsp. crispa,American green alder,1992,Available,Available
ALNVIRS,https://www.fs.fed.us/database/feis/plants/shrub/alnvirs/all.html,Alnus viridis subsp. sinuata,Sitka alder,1989,Available,Available
AMARET,https://www.fs.fed.us/database/feis/plants/forb/amaret/all.html,Amaranthus retroflexus,redroot amaranth,1993,Not Available,Available
AMBDEL,https://www.fs.fed.us/database/feis/plants/shrub/ambdel/all.html,Ambrosia deltoidea,triangle bursage,1994,Not Available,Available
AMBDUM,https://www.fs.fed.us/database/feis/plants/shrub/ambdum/all.html,Ambrosia dumosa,white bursage,1994,Available,Available
AMBPSI,https://www.fs.fed.us/database/feis/plants/forb/ambpsi/all.html,Ambrosia psilostachya,Cuman ragweed,1992,Available,Available
AMEALN,https://www.fs.fed.us/database/feis/plants/shrub/amealn/all.html,Amelanchier alnifolia,Saskatoon serviceberry,1997,Available,Available
AMEARB,https://www.fs.fed.us/database/feis/plants/tree/amearb/all.html,Amelanchier arborea,common serviceberry,1992,Available,Available
AMEUTA,https://www.fs.fed.us/database/feis/plants/shrub/ameuta/all.html,Amelanchier utahensis,Utah serviceberry,1999,Available,Available
AMOCAN,https://www.fs.fed.us/database/feis/plants/shrub/amocan/all.html,Amorpha canescens,leadplant,2011,Not Available,Available
AMPBRE,https://www.fs.fed.us/database/feis/plants/vine/ampbre/all.html,Ampelopsis brevipedunculata,Amur peppervine,2009,Not Available,Available
ANDGER,https://www.fs.fed.us/database/feis/plants/graminoid/andger/all.html,Andropogon gerardii,big bluestem,1988,Available,Available
ANDHAL,https://www.fs.fed.us/database/feis/plants/graminoid/andhal/all.html,Andropogon hallii,sand  bluestem,1988,Not Available,Available
ANDPOL,https://www.fs.fed.us/database/feis/plants/shrub/andpol/all.html,Andromeda polifolia,bog rosemary,2007,Not Available,Available
ANDTERC,https://www.fs.fed.us/database/feis/plants/graminoid/andterc/all.html,Andropogon ternarius var. cabanisii,firegrass,1994,Not Available,Available
ANDTERT,https://www.fs.fed.us/database/feis/plants/graminoid/andtert/all.html,Andropogon ternarius var. ternarius,split bluestem,1994,Not Available,Available
ANDVIR,https://www.fs.fed.us/database/feis/plants/graminoid/andvir/all.html,Andropogon virginicus,broomsedge bluestem,1992,Not Available,Available
ANTMIC,https://www.fs.fed.us/database/feis/plants/forb/antmic/all.html,Antennaria microphylla,littleleaf pussytoes,1993,Not Available,Available
ANTPAR,https://www.fs.fed.us/database/feis/plants/forb/antpar/all.html,Antennaria parvifolia,small-leaf pussytoes,2011,Not Available,Available
ANTRAC,https://www.fs.fed.us/database/feis/plants/forb/antrac/all.html,Antennaria racemosa,raceme pussytoes,1993,Available,Available
APOAND,https://www.fs.fed.us/database/feis/plants/forb/apoand/all.html,Apocynum androsaemifolium,spreading dogbane,2005,Available,Available
APOCAN,https://www.fs.fed.us/database/feis/plants/forb/apocan/all.html,Apocynum  cannabinum,Indianhemp,2006,Not Available,Available
AQUCAN,https://www.fs.fed.us/database/feis/plants/forb/aqucan/all.html,Aquilegia canadensis,red columbine,1992,Not Available,Available
ARANUD,https://www.fs.fed.us/database/feis/plants/forb/aranud/all.html,Aralia nudicaulis,wild sarsaparilla,1993,Available,Available
ARASPI,https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html,Aralia spinosa,devil's walkingstick,1992,Not Available,Available
ARBARI,https://www.fs.fed.us/database/feis/plants/tree/arbari/all.html,Arbutus arizonica,Arizona madrone,1993,Not Available,Available
ARBMEN,https://www.fs.fed.us/database/feis/plants/tree/arbmen/all.html,Arbutus menziesii,Pacific madrone,2007,Available,Available
ARBXAL,https://www.fs.fed.us/database/feis/plants/tree/arbxal/all.html,Arbutus xalapensis,Texas madrone,1990,Not Available,Available
ARCCOL,https://www.fs.fed.us/database/feis/plants/shrub/arccol/all.html,Arctostaphylos columbiana,hairy manzanita,1993,Available,Available
ARCGLA,https://www.fs.fed.us/database/feis/plants/shrub/arcgla/all.html,Arctostaphylos glandulosa,Eastwood's manzanita,1992,Available,Available
ARCGLU,https://www.fs.fed.us/database/feis/plants/shrub/arcglu/all.html,Arctostaphylos glauca,bigberry manzanita,1993,Not Available,Available
ARCLAT,https://www.fs.fed.us/database/feis/plants/graminoid/arclat/all.html,Arctagrostis latifolia,wideleaf polargrass,1991,Not Available,Available
ARCMAN,https://www.fs.fed.us/database/feis/plants/shrub/arcman/all.html,Arctostaphylos manzanita,common manzanita,2014,Not Available,Available
ARCNEV,https://www.fs.fed.us/database/feis/plants/shrub/arcnev/all.html,Arctostaphylos nevadensis,pinemat manzanita,1993,Not Available,Available
ARCPAT,https://www.fs.fed.us/database/feis/plants/shrub/arcpat/all.html,Arctostaphylos patula,greenleaf manzanita,2007,Available,Available
ARCPUN,https://www.fs.fed.us/database/feis/plants/shrub/arcpun/all.html,Arctostaphylos pungens,pointleaf manzanita,2005,Available,Available
ARCRUB,https://www.fs.fed.us/database/feis/plants/shrub/arcrub/all.html,Arctostaphylos rubra,red fruit bearberry,2008,Not Available,Available
ARCUVA,https://www.fs.fed.us/database/feis/plants/shrub/arcuva/all.html,Arctostaphylos uva-ursi,kinnikinnick,1991,Available,Available
ARCVIS,https://www.fs.fed.us/database/feis/plants/shrub/arcvis/all.html,Arctostaphylos viscida,sticky whiteleaf manzanita,2015,Available,Available
ARIPUR,https://www.fs.fed.us/database/feis/plants/graminoid/aripur/all.html,Aristida purpurea,purple threeawn,1997,Not Available,Available
ARISTR,https://www.fs.fed.us/database/feis/plants/graminoid/aristr/all.html,Aristida stricta,pineland threeawn,1992,Not Available,Available
ARNCOR,https://www.fs.fed.us/database/feis/plants/forb/arncor/all.html,Arnica cordifolia,heartleaf arnica,1993,Available,Available
