Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Fishes,Gobiidae,Acanthogobius flavimanus,,Yellowfin Goby,Exotic,Marine
Fishes,Acanthuridae,Acanthurus guttatus,,whitespotted surgeonfish,Exotic,Marine
Fishes,Acanthuridae,Acanthurus pyroferus,,chocolate surgeonfish,Exotic,Marine
Fishes,Acanthuridae,Acanthurus sohal,,Red Sea surgeonfish,Exotic,Marine
Fishes,Acipenseridae,Acipenser fulvescens,,Lake Sturgeon,Native,Freshwater
Fishes,Acipenseridae,Acipenser transmontanus,,White Sturgeon,Native,Freshwater
Fishes,Acipenseridae,Acipenser or Scaphirhynchus sp.,,sturgeon (eastern species),Native,Freshwater
Plants,Acoraceae,Acorus calamus,,single-vein sweetflag,Exotic,Freshwater
Amphibians-Frogs,Hylidae,Acris crepitans,,Northern Cricket Frog,Native,Freshwater
Reptiles-Snakes,Acrochoridae,Acrochordus javanicus,,Javan Filesnake,Exotic,Freshwater
Plants,Pteridaceae,Acrostichum aureum,,golden leatherfern,Native,Freshwater
Fishes,Cichlidae,Aequidens pulcher,,blue acara,Exotic,Freshwater
Plants,Fabaceae,Aeschynomene fluitans,,giant water sensitive plant,Exotic,Freshwater
Amphibians-Frogs,Hyperoliidae,Afrixalus fornasini,,Fornasini's Spiny Reed Frog,Exotic,Freshwater
Fishes,Doradidae,Agamyxis pectinifrons,,spotted rafael catfish,Exotic,Freshwater
Reptiles-Snakes,Viperidae,Agkistrodon piscivorus,,Cottonmouth,Native,Freshwater
Fishes,Cyprinidae,Agosia chrysogaster,,Longfin Dace,Native,Freshwater
Mollusks-Bivalves,Unionidae,Alasmidonta marginata,,elktoe,Native,Freshwater
Fishes,Albulidae,Albula vulpes,,Bonefish,Native,Marine
Plants,Droseraceae,Aldrovanda vesiculosa,,waterwheel plant,Exotic,Freshwater
Plants,Alismataceae,Alisma gramineum,,narrowl-leaf water-plantain,Native,Freshwater
Reptiles-Crocodilians,Alligatoridae,Alligator mississippiensis,,American Alligator,Native,Freshwater
Plants,Poaceae,Alopecurus geniculatus,geniculatus,water foxtail,Exotic,Freshwater
Fishes,Clupeidae,Alosa aestivalis,,Blueback Herring,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa chrysochloris,,Skipjack Herring,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa pseudoharengus,,Alewife,Native,Freshwater-Marine
Fishes,Clupeidae,Alosa sapidissima,,American Shad,Native,Freshwater-Marine
Plants,Amaranthaceae,Alternanthera philoxeroides,,alligatorweed,Exotic,Freshwater
Plants,Amaranthaceae,Amaranthus australis,,southern amaranth,Native,Freshwater
Plants,Amaranthaceae,Amaranthus cannabinus,,tidalmarsh amaranth,Native,Brackish
Fishes,Centrarchidae,Ambloplites ariommus,,shadow bass,Native,Freshwater
Fishes,Centrarchidae,Ambloplites cavifrons,,Roanoke Bass,Native,Freshwater
Fishes,Centrarchidae,Ambloplites constellatus,,Ozark Bass,Native,Freshwater
Fishes,Centrarchidae,Ambloplites rupestris,,Rock Bass,Native,Freshwater
Amphibians-Salamanders,Ambystomatidae,Ambystoma gracile,,Northwestern Salamander,Native,Freshwater
Amphibians-Salamanders,Ambystomatidae,Ambystoma macrodactylum,,Long-toed Salamander,Native,Freshwater
Amphibians-Salamanders,Ambystomatidae,Ambystoma mavortium mavortium,,Barred Tiger Salamander,Native,Freshwater
Amphibians-Salamanders,Ambystomatidae,Ambystoma mavortium melanostictum,,Blotched Tiger Salamander,Native,Freshwater
Amphibians-Salamanders,Ambystomatidae,Ambystoma tigrinum,,Eastern Tiger Salamander,Native,Freshwater
Fishes,Goodeidae,Ameca splendens,,Butterfly Splitfin,Exotic,Freshwater
Fishes,Ictaluridae,Ameiurus brunneus,,Snail Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus catus,,White Catfish,Native,Freshwater
Fishes,Ictaluridae,Ameiurus melas,,Black Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus natalis,,Yellow Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus nebulosus,,Brown Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus platycephalus,,Flat Bullhead,Native,Freshwater
Fishes,Ictaluridae,Ameiurus sp.,,bullhead catfish,Native,Freshwater
Fishes,Amiidae,Amia calva,,Bowfin,Native,Freshwater
Fishes,Percidae,Ammocrypta bifascia,,Florida Sand Darter,Native,Freshwater
Fishes,Percidae,Ammocrypta clara,,Western Sand Darter,Native,Freshwater
Fishes,Cichlidae,Amphilophus citrinellus,,Midas Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Amphilophus citrinellus x Cichlasoma urophthalmus,,Midas x Mayan cichlid hybrid,Exotic Hybrid,Freshwater
Fishes,Cichlidae,Amphilophus labiatus,,red devil,Exotic,Freshwater
Amphibians-Salamanders,Amphiumidae,Amphiuma tridactylum,,Three-toed Amphiuma,Native,Freshwater
Fishes,Anabantidae,Anabas testudineus,,climbing perch,Exotic,Freshwater
Amphibians-Frogs,Bufonidae,Anaxyrus americanus,,American Toad,Native,Freshwater
Amphibians-Frogs,Bufonidae,Anaxyrus boreas halophilus,,Southern California Toad,Native,Freshwater
Fishes,Engraulidae,Anchoa compressa,,Deepbody Anchovy,Exotic,Marine
Fishes,Engraulidae,Anchoa mundeoloides,,Northern Gulf Anchovy,Exotic,Marine
Fishes,Loricariidae,Ancistrus cf. temminckii,,bristlenosed catfish,Exotic,Freshwater-Brackish
Fishes,Loricariidae,Ancistrus sp.,,bristlenosed catfish,Exotic,Freshwater
Fishes,Anguillidae,Anguilla anguilla,,European eel,Exotic,Freshwater-Marine
Fishes,Anguillidae,Anguilla australis,,shortfin eel,Exotic,Marine
Fishes,Anguillidae,Anguilla marmorata,,marbled eel,Exotic,Freshwater-Marine
Fishes,Anguillidae,Anguilla rostrata,,American Eel,Native,Freshwater-Marine
Fishes,Anguillidae,Anguilla sp.,,unidentified eel,Exotic,Freshwater-Marine
Fishes,Haemulidae,Anisotremus davidsonii,,Sargo,Native,Marine
Mollusks-Bivalves,Mycetopodidae,Anodontites trapesialis,,,Exotic,Freshwater
Reptiles-Turtles,Trionychidae,Apalone ferox,,Florida Softshell,Native,Freshwater
Reptiles-Turtles,Trionychidae,Apalone spinifera,,Spiny Softshell,Native,Freshwater
