folder	filename	path	width	height	xmin	ymin	xmax	ymax				name
images	31356195_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/31356195_aug.jpg	274	200	20	0	246	200				Chiroptera
images	31364170_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/31364170_aug.jpg	2380	2218	0	0	2224	2218				Chiroptera
images	27320132_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/27320132_aug.jpg	514	325	0	0	514	325				Chiroptera
images	23364248_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/23364248_aug.jpg	2031	1514	0	0	1346	1514				Chiroptera
images	27111698_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/27111698_aug.jpg	1006	524	461	165	784	488				Chiroptera
images	27111699_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/27111699_aug.jpg	956	755	297	110	887	699				Chiroptera
images	27057618_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/27057618_aug.jpg	749	980	16	299	683	965				Chiroptera
images	26920758_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/26920758_aug.jpg	2720	2320	729	385	2124	1780				Chiroptera
images	29297983_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/29297983_aug.jpg	2034	1695	0	0	2034	1695				Chiroptera
images	19181605_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19181605_aug.jpg	629	418	119	1	483	365				Chiroptera
images	19886579_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886579_aug.jpg	483	312	36	23	324	312				Chiroptera
images	31345180_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/31345180_aug.jpg	431	318	30	0	399	318				Chiroptera
images	29873484_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/29873484_aug.jpg	2031	1642	0	0	2031	1642				Chiroptera
images	29895195_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/29895195_aug.jpg	1514	2562	0	421	1514	2279				Chiroptera
images	15241998_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/15241998_aug.jpg	485	324	46	0	443	324				Chiroptera
images	32338595_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/32338595_aug.jpg	798	1062	0	316	687	1031				Chiroptera
images	32335493_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/32335493_aug.jpg	361	613	13	0	327	300				Chiroptera
images	32335495_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/32335495_aug.jpg	410	623	0	0	357	360				Chiroptera
images	24798806_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798806_aug.jpg	865	1305	78	0	354	244				Chiroptera
images	24798805_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/24798805_aug.jpg	855	1306	0	67	269	432				Chiroptera
images	2006185_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/2006185_aug.jpg	786	586	80	0	674	586				Chiroptera
images	2006197_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/2006197_aug.jpg	431	575	0	60	431	506				Chiroptera
images	2006200_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/2006200_aug.jpg	674	492	12	0	597	492				Chiroptera
images	2006202_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/2006202_aug.jpg	409	550	57	129	351	424				Chiroptera
images	2006206_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/2006206_aug.jpg	658	504	95	50	550	504				Chiroptera
images	5815770_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/5815770_aug.jpg	579	790	0	0	579	774				Chiroptera
images	5815772_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/5815772_aug.jpg	476	728	0	63	476	563				Chiroptera
images	15242009_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/15242009_aug.jpg	492	312	16	0	432	312				Chiroptera
images	15242010_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/15242010_aug.jpg	494	317	14	0	443	317				Chiroptera
images	15242025_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/15242025_aug.jpg	487	321	68	0	409	321				Chiroptera
images	19160384_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19160384_aug.jpg	466	613	0	0	466	613				Chiroptera
images	19179165_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19179165_aug.jpg	628	419	143	0	534	419				Chiroptera
images	19886508_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886508_aug.jpg	613	375	86	0	484	375				Chiroptera
images	19886545_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886545_aug.jpg	494	315	100	0	403	315				Chiroptera
images	19886548_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886548_aug.jpg	571	415	0	0	571	415				Chiroptera
images	19886568_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886568_aug.jpg	469	322	45	0	444	322				Chiroptera
images	19886585_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886585_aug.jpg	488	309	85	0	411	304				Chiroptera
images	19886619_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886619_aug.jpg	626	411	28	0	571	411				Chiroptera
images	19886621_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886621_aug.jpg	498	591	0	0	498	591				Chiroptera
images	19886725_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/19886725_aug.jpg	282	471	0	0	282	471				Chiroptera
images	21938452_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/21938452_aug.jpg	699	841	0	0	699	841				Chiroptera
images	21938874_aug.jpg	/content/drive/My Drive/fall19_smithsonian_informatics/train/images/21938874_aug.jpg	496	362	57	0	406	362				Chiroptera
