folder	filename	path	width	height	xmin	ymin	xmax	ymax	name
images	26991247_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26991247_aug.jpg	773	925	0	17	773	814	Lepidoptera
images	24891820_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24891820_aug.jpg	1485	2023	278	94	1201	1018	Lepidoptera
images	26253172_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26253172_aug.jpg	1986	1312	0	0	1986	1312	Lepidoptera
images	1999185_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/1999185_aug.jpg	648	494	0	0	601	494	Lepidoptera
images	27699198_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27699198_aug.jpg	614	478	0	0	614	468	Lepidoptera
images	24169795_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24169795_aug.jpg	2038	1334	382	0	2006	1334	Lepidoptera
images	19192076_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/19192076_aug.jpg	612	465	0	0	568	465	Lepidoptera
images	31547870_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/31547870_aug.jpg	917	1001	0	0	917	1001	Lepidoptera
images	26534472_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26534472_aug.jpg	2037	1344	524	0	1885	1288	Lepidoptera
images	32638155_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/32638155_aug.jpg	990	739	211	0	801	739	Lepidoptera
images	33723962_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33723962_aug.jpg	881	556	0	0	615	556	Lepidoptera
images	28588696_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/28588696_aug.jpg	2040	1604	155	0	1868	1604	Lepidoptera
images	28400650_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/28400650_aug.jpg	1257	935	0	3	1257	839	Lepidoptera
images	25085374_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/25085374_aug.jpg	1181	827	221	0	1113	827	Lepidoptera
images	26527014_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26527014_aug.jpg	980	746	265	34	841	611	Lepidoptera
images	5820136_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/5820136_aug.jpg	733	544	97	0	644	544	Lepidoptera
images	30101542_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/30101542_aug.jpg	886	661	104	0	777	657	Lepidoptera
images	1997513_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/1997513_aug.jpg	652	489	139	0	564	489	Lepidoptera
images	19155036_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/19155036_aug.jpg	625	461	97	0	583	454	Lepidoptera
images	19151287_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/19151287_aug.jpg	621	407	62	0	555	407	Lepidoptera
images	33792342_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33792342_aug.jpg	2027	1141	610	24	1719	1133	Lepidoptera
images	26168738_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26168738_aug.jpg	2824	4254	0	0	2824	4254	Lepidoptera
images	12513534_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/12513534_aug.jpg	756	493	160	0	678	493	Lepidoptera
images	25808544_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/25808544_aug.jpg	1008	742	99	0	876	742	Lepidoptera
images	24906752_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24906752_aug.jpg	486	344	0	0	486	344	Lepidoptera
images	29742721_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/29742721_aug.jpg	3581	2686	451	0	3155	2686	Lepidoptera
images	19162937_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/19162937_aug.jpg	616	422	73	0	589	422	Lepidoptera
images	26240133_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26240133_aug.jpg	1992	1317	283	0	1892	1317	Lepidoptera
images	26156682_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26156682_aug.jpg	2825	4261	293	1971	2105	3783	Lepidoptera
images	26240132_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26240132_aug.jpg	1993	1313	0	0	1993	1313	Lepidoptera
images	11857842_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/11857842_aug.jpg	289	200	0	0	282	200	Lepidoptera
images	33392004_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33392004_aug.jpg	2040	1518	805	476	1510	1181	Lepidoptera
images	26165882_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26165882_aug.jpg	2827	4255	0	1962	2827	4196	Lepidoptera
images	26421534_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26421534_aug.jpg	982	732	54	0	898	732	Lepidoptera
images	21949362_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/21949362_aug.jpg	1578	1177	140	0	1553	1177	Lepidoptera
images	33267009_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33267009_aug.jpg	2026	1346	419	121	1612	1314	Lepidoptera
images	22666229_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/22666229_aug.jpg	1438	2036	141	185	1280	1324	Lepidoptera
images	26240170_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26240170_aug.jpg	1303	1975	0	0	1303	1975	Lepidoptera
images	33820898_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33820898_aug.jpg	1262	839	224	30	1016	823	Lepidoptera
images	34182383_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/34182383_aug.jpg	2033	1518	684	427	1446	1189	Lepidoptera
images	19145160_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/19145160_aug.jpg	620	416	17	0	475	416	Lepidoptera
images	31373985_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/31373985_aug.jpg	1981	1327	0	0	1536	1327	Lepidoptera
images	26240172_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26240172_aug.jpg	1991	1324	124	0	1787	1324	Lepidoptera
images	1997586_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/1997586_aug.jpg	668	428	49	0	598	428	Lepidoptera
images	11859527_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/11859527_aug.jpg	284	204	18	0	268	204	Lepidoptera
images	21074129_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/21074129_aug.jpg	1501	1120	0	0	1501	1120	Lepidoptera
images	26240241_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26240241_aug.jpg	1990	1300	558	45	1725	1211	Lepidoptera
images	5829298_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/5829298_aug.jpg	630	453	203	66	465	328	Lepidoptera
images	21940329_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/21940329_aug.jpg	492	368	56	0	442	368	Lepidoptera
images	26240235_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26240235_aug.jpg	1308	1976	0	189	1308	1867	Lepidoptera
images	32534826_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/32534826_aug.jpg	4313	2857	781	0	3210	2857	Lepidoptera
images	25805384_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/25805384_aug.jpg	2249	1684	364	0	1985	1572	Lepidoptera
images	29891656_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/29891656_aug.jpg	1580	2673	0	0	1580	1577	Lepidoptera
images	26253185_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26253185_aug.jpg	1989	1312	330	0	1883	1312	Lepidoptera
images	24988970_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24988970_aug.jpg	986	783	0	0	975	783	Lepidoptera
images	5820236_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/5820236_aug.jpg	730	553	0	0	667	553	Lepidoptera
images	33276874_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33276874_aug.jpg	1470	1136	218	0	1374	1129	Lepidoptera
images	1997110_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/1997110_aug.jpg	449	671	0	0	449	671	Lepidoptera
images	32230562_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/32230562_aug.jpg	1180	772	69	0	1053	772	Lepidoptera
images	5820019_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/5820019_aug.jpg	734	537	104	0	668	537	Lepidoptera
images	24899277_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24899277_aug.jpg	2253	1682	471	264	1606	1399	Lepidoptera
images	33852231_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33852231_aug.jpg	1397	2027	0	171	1397	1737	Lepidoptera
images	27694462_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27694462_aug.jpg	478	400	32	0	445	400	Lepidoptera
images	24623851_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24623851_aug.jpg	482	372	13	0	436	372	Lepidoptera
