folder	filename	path	width	height	xmin	ymin	xmax	ymax	name
images	30248672_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/30248672_aug.jpg	707	525	148	0	697	525	Squamata
images	27186803_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27186803_aug.jpg	1589	1186	9	0	1090	1186	Squamata
images	12515566_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/12515566_aug.jpg	754	491	70	0	726	491	Squamata
images	33208708_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33208708_aug.jpg	511	791	0	0	511	791	Squamata
images	26272165_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/26272165_aug.jpg	744	500	39	0	655	500	Squamata
images	22859694_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/22859694_aug.jpg	2550	1898	161	0	2463	1898	Squamata
images	27731780_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27731780_aug.jpg	672	514	0	0	672	514	Squamata
images	29210387_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/29210387_aug.jpg	2255	1681	159	0	2047	1681	Squamata
images	25665922_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/25665922_aug.jpg	1214	801	0	0	1214	801	Squamata
images	31957166_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/31957166_aug.jpg	2806	2101	227	0	2493	2101	Squamata
images	27161233_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27161233_aug.jpg	985	451	561	0	975	451	Squamata
images	12528232_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/12528232_aug.jpg	760	489	278	0	689	489	Squamata
images	24988579_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24988579_aug.jpg	1001	743	149	0	952	743	Squamata
images	13161324_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/13161324_aug.jpg	728	487	156	0	686	487	Squamata
images	27939055_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27939055_aug.jpg	2028	1363	283	0	1811	1363	Squamata
images	12525095_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/12525095_aug.jpg	751	494	117	0	608	481	Squamata
images	33812447_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33812447_aug.jpg	1186	886	6	0	1011	886	Squamata
images	31428419_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/31428419_aug.jpg	282	185	52	0	281	185	Squamata
images	25144740_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/25144740_aug.jpg	3057	2029	574	0	2846	2029	Squamata
images	33563826_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/33563826_aug.jpg	2029	1479	16	0	2000	1479	Squamata
images	5815380_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/5815380_aug.jpg	679	499	0	0	679	499	Squamata
images	24984857_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24984857_aug.jpg	3048	2030	574	0	3044	2030	Squamata
images	27693195_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27693195_aug.jpg	468	334	45	0	413	334	Squamata
images	17577522_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/17577522_aug.jpg	667	486	283	78	504	298	Squamata
images	18696219_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/18696219_aug.jpg	754	485	26	0	692	485	Squamata
images	27947315_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27947315_aug.jpg	2977	993	1248	360	1595	707	Squamata
images	27738826_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27738826_aug.jpg	3699	1710	522	0	2247	1710	Squamata
images	27310948_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/27310948_aug.jpg	1016	704	227	32	886	690	Squamata
images	29202439_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/29202439_aug.jpg	2793	2101	703	0	2526	2101	Squamata
images	23021845_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/23021845_aug.jpg	1273	832	592	280	793	481	Squamata
images	25205565_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/25205565_aug.jpg	889	575	20	0	790	575	Squamata
images	24983943_aug.jpg	content/drive/My Drive/fall19_smithsonian_informatics/train/images/24983943_aug.jpg	2500	1750	510	0	2203	1750	Squamata
