ref_entity	Taxon	page
Q116224190	Acrosorus	156
Q116224190	Acrostichum	252
Q116224190	Actiniopteris	239
Q116224190	Acystopteris	138
Q116224190	Adiantopsis	242
Q116224190	Adiantum	249
Q116224190	Aglaomorpha	11
Q116224190	Anogramma	237
Q116224190	Antrophyum	275
Q116224190	Arachniodes	112
Q116224190	Aspleniaceae	52
Q116224190	Athyrium	132
Q116224190	Austrogramme	239
Q116224190	Blechnaceae	60
Q116224190	Blechnum	63
Q116224190	Blotiella	88
Q116224190	Bommeria	246
Q116224190	Brainea	66
Q116224190	Calymmodon	156
Q116224190	Campyloneurum	221
Q116224190	Ceratopteris	233
Q116224190	Cheilanthes	242
Q116224190	Coniogramme	246
Q116224190	Cryptogramma	246
Q116224190	Ctenitis	126
Q116224190	Cyclodium	118
Q116224190	Cyclopeltis	129
Q116224190	Cystodium	98
Q116224190	Cystopteris	138
Q116224190	Davalliaceae	74
Q116224190	Dennstaedtia	83
Q116224190	Dennstaedtiaceae	81
Q116224190	Deparia	136
Q116224190	Dictymia	221
Q116224190	Didymochlaena	116
Q116224190	Diplaziopsis	135
Q116224190	Diplazium	133
Q116224190	Doodia	63
Q116224190	Doryopteris	244
Q116224190	Dryopteridaceae	101
Q116224190	Dryopteris	110
Q116224190	Elaphoglossum	169
Q116224190	Goniophlebium	225
Q116224190	Grammitis	155
Q116224190	Gymnocarpium	138
Q116224190	Hecistopteris	276
Q116224190	Hemidictyum	136
Q116224190	Hemionitis	245
Q116224190	Histiopteris	89
Q116224190	Hypodematium	138
Q116224190	Hypoderris	123
Q116224190	Hypolepis	87
Q116224190	Jamesonia	235
Q116224190	Lastreopsis	128
Q116224190	Lecanopteris	217
Q116224190	Lemmaphyllum	215
Q116224190	Lepisorus	217
Q116224190	Leptochilus	219
Q116224190	Leptolepia	84
Q116224190	Leucostegia	77
Q116224190	Lindsaea	92
Q116224190	Llavea	247
Q116224190	Lomagramma	167
Q116224190	Lomariopsidaceae	164
Q116224190	Lomariopsis	165
Q116224190	Lonchitis	89
Q116224190	Loxogramme	229
Q116224190	Macrothelypteris	267
Q116224190	Matteuccia	140
Q116224190	Maxonia	113
Q116224190	Microgramma	224
Q116224190	Microlepia	84
Q116224190	Microsorum	219
Q116224190	Neocheiropteris	219
Q116224190	Nephrolepidaceae	188
Q116224190	Niphidium	222
Q116224190	Notholaena	242
Q116224190	Odontosoria	91
Q116224190	Oenotrichia	84
Q116224190	Oleandraceae	190
Q116224190	Olfersia	118
Q116224190	Onoclea	141
Q116224190	Onychium	239
Q116224190	Ormoloma	93
Q116224190	Paesia	86
Q116224190	Pecluma	228
Q116224190	Pellaea	243
Q116224190	Phegopteris	266
Q116224190	Phymatosorus	221
Q116224190	Pityrogramma	237
Q116224190	Platycerium	209
Q116224190	Pleocnemia	122
Q116224190	Pleopeltis	225
Q116224190	Pleurosoriopsis	253
Q116224190	Polybotrya	119
Q116224190	Polypodiaceae	203
Q116224190	Polypodium	222
Q116224190	Polystichum	114
Q116224190	Polytaenium	275
Q116224190	Pteridaceae	230
Q116224190	Pteridium	85
Q116224190	Pteridrys	128
Q116224190	Pteris	250
Q116224190	Pterozonium	235
Q116224190	Pyrrosia	211
Q116224190	Rheopteris	274
Q116224190	Rumohra	107
Q116224190	Saccoloma	82
Q116224190	Sadleria	65
Q116224190	Salpichlaena	64
Q116224190	Scleroglossum	156
Q116224190	Selliguea	214
Q116224190	Stenochlaena	67
Q116224190	Stigmatopteris	117
Q116224190	Syngramma	240
Q116224190	Taenitis	240
Q116224190	Tapeinidium	91
Q116224190	Tectaria	119
Q116224190	Teratophyllum	164
Q116224190	Thelypteris	265
Q116224190	Thylacopteris	228
Q116224190	Trachypteris	246
Q116224190	Triplophyllum	124
Q116224190	Vittaria	276
