attribute	value	Inferred from
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Inferred from Vertebrata
http://www.wikidata.org/entity/Q1053008	http://www.wikidata.org/entity/Q164509	Radiolaria
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Plankton	Chrysophyceae
http://www.wikidata.org/entity/Q1053008	http://www.wikidata.org/entity/Q164509	Foraminifera
http://www.wikidata.org/entity/Q33596	http://www.wikidata.org/entity/Q1759860	Foraminifera
http://eol.org/schema/terms/EcomorphologicalGuild	http://eol.org/schema/terms/semiInfaunal	Foraminifera
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Plankton	Graptolithina
http://www.wikidata.org/entity/Q33596	http://eol.org/schema/terms/passivelyMobile	Graptolithina
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000038	Chlorophyta
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Chlorophyta
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Chlorophyta
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Chlorophyta
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Chlorophyta
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Chlorophyta
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Haptophyta
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002223	Haptophyta
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Haptophyta
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Epifaunal	Hydrozoa
http://www.wikidata.org/entity/Q33596	http://www.wikidata.org/entity/Q1759860	Hydrozoa
http://eol.org/schema/terms/EcomorphologicalGuild	http://eol.org/schema/terms/Attached	Hydrozoa
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000446	Insecta
http://www.wikidata.org/entity/Q33596	http://eol.org/schema/terms/activelyMobile	Arthropoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002012	Cyanobacteria
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Cyanobacteria
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Cyanobacteria
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Cyanobacteria
http://www.wikidata.org/entity/Q33596	http://www.wikidata.org/entity/Q1759860	Cyanobacteria
http://eol.org/schema/terms/TrophicGuild	http://eol.org/schema/terms/suspensionFeeder	Urochordata
http://eol.org/schema/terms/EcomorphologicalGuild	http://eol.org/schema/terms/lowEpifaunal	Urochordata
http://www.wikidata.org/entity/Q33596	http://www.wikidata.org/entity/Q1759860	Urochordata
http://eol.org/schema/terms/EcomorphologicalGuild	http://eol.org/schema/terms/Attached	Urochordata
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Polyplacophora
http://www.wikidata.org/entity/Q33596	http://eol.org/schema/terms/facultativelyMobile	Tommotiida
http://www.wikidata.org/entity/Q33596	http://eol.org/schema/terms/facultativelyMobile	Tommotiidae
http://eol.org/schema/terms/TrophicGuild	http://eol.org/schema/terms/suspensionFeeder	Vetulicolia
http://www.wikidata.org/entity/Q33596	http://eol.org/schema/terms/facultativelyMobile	Vetulicolia
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Branchiopoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Branchiopoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Branchiopoda
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Epifaunal	Gastropoda
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Patellidae
http://www.wikidata.org/entity/Q1053008	http://www.wikidata.org/entity/Q81875	Heterobranchia
http://eol.org/schema/terms/EcomorphologicalGuild	http://www.marinespecies.org/traits/Epifaunal	Heterobranchia
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Assimineidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00002019	Assimineidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000873	Assimineidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000446	Assimineidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000447	Vertebrata
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Nuculidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Nuculidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Nuculidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Nuculanidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Nuculanidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Nuculanidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/innerShelf	Yoldiidae
http://purl.obolibrary.org/obo/RO_0002303	http://eol.org/schema/terms/outerShelf	Yoldiidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_00000038	Solemyidae
http://purl.obolibrary.org/obo/RO_0002303	http://purl.obolibrary.org/obo/ENVO_01000687	Solemyidae
