t.name,t.uri
Nevada,http://www.geonames.org/5509151
Newfoundland,http://www.wikidata.org/entity/Q48335
Ascension,http://www.geonames.org/5887479
Tristan Da Cunha,http://www.geonames.org/3370684
Tropical Atlantic,http://marineregions.org/mrgid/21726
Tropical Indo-Pacific,http://marineregions.org/mrgid/18075
South African Exclusive Economic Zone,http://marineregions.org/mrgid/8396
Kane'Ohe Bay,http://www.geonames.org/5848190
O'Ahu,http://www.geonames.org/5851609
Lake Hemmelsdorfer,http://www.geonames.org/2906566
Gulf Of Trieste,http://www.geonames.org/3165187
Hiroshima Bay,http://www.geonames.org/1862411
Gales Creek,http://www.geonames.org/4467544
Strait Of Georgia,http://www.geonames.org/6157919
Plymouth Sound,http://www.geonames.org/2640193
Attersee,http://www.geonames.org/2782288
Mutsu Bay,http://www.geonames.org/2129088
Lake Neusiedl,http://www.geonames.org/3052649
Hausersee,http://www.geonames.org/2776651
Strait Of Georgia,http://marineregions.org/mrgid/23492
Gulf Of Naples,http://www.geonames.org/3172393
Ahalnica Wielka,http://www.geonames.org/630647
Gulf Of Saint Lawrence,http://www.geonames.org/3831546
Lake Geneva,http://www.geonames.org/2660647
Great Barrier Reef,http://www.geonames.org/2164628
Samoan Exclusive Economic Zone,http://marineregions.org/mrgid/8445
Line Islands,http://www.geonames.org/4030940
Andaman And Nicobar Islands Exclusive Economic Zone,http://marineregions.org/mrgid/8333
Polynesian Waters,http://marineregions.org/mrgid/15250
Indonesian Exclusive Economic Zone,http://marineregions.org/mrgid/8492
Western Mediterranean,http://www.geonames.org/6947193
Mediterranean Sea - Western Basin,http://marineregions.org/mrgid/4279
worldwide,http://eol.org/schema/terms/Worldwide
Kermadec Islands,http://www.geonames.org/4032961
subtropical,http://purl.obolibrary.org/obo/ENVO_01000205
Malawi,http://marineregions.org/mrgid/2231
Jan Mayen,http://www.geonames.org/3041964
Alps,http://www.geonames.org/2661786
Loyalty Islands,http://www.geonames.org/7521415
Aegean Sea,http://www.geonames.org/265695
Helgoland,http://www.geonames.org/2906947
White Sea,http://marineregions.org/mrgid/4248
Northern Ireland,http://www.geonames.org/2641364
Svalbard,http://www.geonames.org/7521757
Us Virgin Islands,https://www.wikidata.org/entity/Q11703
Selat Karimata,http://www.geonames.org/1641097
Gulf Of California,http://www.geonames.org/4016118
Kerguelen,http://www.geonames.org/1546558
Scotland,http://www.geonames.org/2638360
Kerguelen Islands,http://www.wikidata.org/entity/Q46772
Sea Of Okhotsk,http://www.wikidata.org/entity/Q41602
Great Britain,http://www.geonames.org/2648147
Jammu-Kashmir,http://www.geonames.org/1269320
Czechoslovakia,http://www.geonames.org/8505031
Bonaire,http://www.geonames.org/7609816
Mozambique Channel,http://www.geonames.org/8426502
Virgin Islands,http://www.geonames.org/3577322
Clipperton,https://www.wikidata.org/entity/Q161258
CuraçAo,https://www.wikidata.org/entity/Q25279
Cabo Verde,http://www.wikidata.org/entity/Q1011
Eswatini,https://www.wikidata.org/entity/Q1050
Caucasus Region,http://www.geonames.org/615318
Canary Islands,http://www.geonames.org/2520308
Macaronesia,http://www.wikidata.org/entity/Q105472
Middle America,http://eol.org/schema/terms/MiddleAmerica
Tasmania,http://www.geonames.org/2147291
Western Australia,http://www.geonames.org/2058645
Queensland,http://www.geonames.org/2152274
Southwest Africa,http://eol.org/schema/terms/SouthwestAfrica
"Northern Territory, Australia",https://www.geonames.org/2064513
South Australia,http://www.geonames.org/2061327
New South Wales,http://www.geonames.org/2155400
Sokotra,http://www.geonames.org/70302
Malay Peninsula,http://www.geonames.org/8354616
American Southeast,http://eol.org/schema/terms/Southeast
Juan Fernandez Isl,http://www.geonames.org/3886788
Amur,http://eol.org/schema/terms/Amur
Tropical Africa,http://eol.org/schema/terms/TropicalAfrica
Eastern Mediterranean,http://www.geonames.org/6947194
Tanganika,http://www.geonames.org/205253
Atlantic Coast Of South America,http://marineregions.org/mrgid/17376
Tropical Asia,http://www.wikidata.org/entity/Q7845753
North West Atlantic,http://eol.org/schema/terms/NorthWestAtlantic
Jersey,http://www.geonames.org/3042143
Lake Victoria,http://www.geonames.org/148996
Danube River,http://www.geonames.org/791630
