uid	parent_uid	name	rank
805080		life	no rank
4807313	805080	Viruses	no rank
93302	805080	cellular organisms	no rank
844192	93302	Bacteria	domain
996421	93302	Archaea	domain
304358	93302	Eukaryota	domain
5246039	304358	SAR	no rank
151014	304358	Haptophyta	no rank
5268475	304358	Archaeplastida	no rank
878953	5268475	Rhodophyta	no rank
664970	5268475	Glaucophyta	no rank
361838	5268475	Chloroplastida	no rank
352914	304358	Fungi	no rank
691846	304358	Metazoa	no rank
442934	691846	Bryozoa	phylum
395057	691846	Nematoda	phylum
641212	691846	Ctenophora	phylum
67819	691846	Porifera	no rank
641033	691846	Cnidaria	no rank
941620	691846	Annelida	phylum
802117	691846	Mollusca	phylum
555379	691846	Platyhelminthes	phylum
125642	691846	Chordata	phylum
632179	691846	Arthropoda	phylum
511967	632179	Arachnida	class
212701	632179	Malacostraca	class
1062253	632179	Insecta	class
661378	1062253	Diptera	order
865243	1062253	Coleoptera	order
965954	1062253	Lepidoptera	order
753726	1062253	Hymenoptera	order
765490	125642	Neornithes	subclass
765491	1062253	Odonata	order
765492	1062253	Orthoptera	order
765493	1062253	Psocodea	order
765494	1062253	Aphidomorpha	infraorder
765495	1062253	Coreoidea	superfamily
765496	1062253	Lygaeoidea	superfamily
765497	1062253	Coleorrhyncha	suborder
765498	1062253	Mantophasmatodea	no rank
765499	1062253	Embioptera	order
765500	1062253	Grylloblattodea	suborder
765501	1062253	Plecoptera	order
765502	1062253	Dermaptera	order
765503	1062253	Mantodea	no rank
765504	1062253	Phasmida	order
765505	1062253	Zoraptera	order
765506	1062253	Blattodea	order
765507	5268475	Lycopodiopsida	no rank
765508	5268475	Polypodiopsida	class
765509	125642	Amphibia	class
765510	765506	Termitoidae	no rank
765511	511967	Araneae	no rank
765512	691846	Onychophora	phylum
765513	632179	Crustacea	subphylum
765514	5246039	Rhizaria	subkingdom
