uid	parent_uid	name	rank
0021def7-fa27-4202-8251-34bb65920f45	6b2b2c59-b725-466c-b7d7-51e732845a80	Insecta	class
02ec45a1-ec93-445c-b60d-702c3de82172	773f89c1-841a-4bd6-949c-35c2bc9538c4	Chlorophyta	phylum
07f10e80-e6bc-4641-a938-e81be739ad5b	4771438e-849c-4c58-bff8-d14d70e6ba0b	Actinopterygii	class
10d6e898-8508-47c5-99e7-f18d3306e8cd	e61a111a-621e-4155-b320-6f8f2c78003d	Bacteria	no rank
121d4ef2-141f-4a20-8e33-c407b205a4db	0021def7-fa27-4202-8251-34bb65920f45	Diptera	order
122010ce-c49c-4b26-aef1-c2142ebea37b	b04981ef-538e-40ba-b501-a6868f1b4cfb	Porifera	phylum
16992503-1221-4d88-992d-a97ec0bb3fd9	b04981ef-538e-40ba-b501-a6868f1b4cfb	Onychophora	phylum
1c660855-3ac2-4785-811e-db58776293c1	0021def7-fa27-4202-8251-34bb65920f45	Psocodea	order
28efdbe0-1b9f-4fea-9767-7433cfc64594	3b5138ef-c25c-4a25-9f1c-ffd85bd342e1	Haptophyta	phylum
29bee85d-1a82-4411-82a4-f3cf98f1aa57	6b2b2c59-b725-466c-b7d7-51e732845a80	Chilopoda	class
3488a150-bbcb-44cd-b7cf-af758ef8686e		Life	no rank
3b5138ef-c25c-4a25-9f1c-ffd85bd342e1	e61a111a-621e-4155-b320-6f8f2c78003d	Eukaryota	no rank
44b7bdfd-e34a-4aca-939b-481705ae5039	3b5138ef-c25c-4a25-9f1c-ffd85bd342e1	Amoebozoa	no rank
45d91e54-495c-4eda-bea9-c71923afce2d	0021def7-fa27-4202-8251-34bb65920f45	Coleoptera	order
4771438e-849c-4c58-bff8-d14d70e6ba0b	b04981ef-538e-40ba-b501-a6868f1b4cfb	Chordata	phylum
47b31f50-bd30-4538-b6e0-857bb19d6e8e	b04981ef-538e-40ba-b501-a6868f1b4cfb	Annelida	phylum
52b40831-53dc-4d0d-b2ce-99e2ece237e2	f0c754f6-6604-402e-8bc3-8207d829e321	Alveolata	no rank
59007c77-6c4f-4e13-865e-e10ed6952ee0	6404ed05-0848-4383-b0ea-9fbc621f130a	Neornithes	no rank
5bd6027c-1bf9-41ec-9ace-528e15c563c1	0021def7-fa27-4202-8251-34bb65920f45	Hymenoptera	order
5eedcf9f-f143-4dc4-b6f9-4fad3271c463	4771438e-849c-4c58-bff8-d14d70e6ba0b	Crocodylia	order
