TaxonID	Name	Source Reference	Language	Locality	CountryCode	IsPreferredName	TaxonRemarks
Giraffa camelopordalis	Kameelperd		Afrikaans				
Neoromicia zuluensis 	Aalwyndakvlermuis		Afrikaans				
Neoromicia zuluensis 	Aalwynvlermuis		Afrikaans				
Proteles cristatus	Aardwolf		Afrikaans				
Falco cuvierii	Afrikaanse Boomvalk		Afrikaans				
Aethomys chrysophilus 	Afrikaanse bosrot		Afrikaans				
Cuculus gularis	Afrikaanse Koekoek		Afrikaans				
Coturnix coturnix	Afrikaanse Kwartel		Afrikaans				
Caprimulgus pectoralis	Afrikaanse Naguil		Afrikaans				
Riparia paludicola	Afrikaanse Oewerswael		Afrikaans				
Crecopsis egregia	Afrikaanse Riethaan		Afrikaans				
Civettictis civetta	Afrikaanse siwet		Afrikaans				
Gallinago nigripennis	Afrikaanse Snip		Afrikaans				
Accipiter tachiro	Afrikaanse Sperwer		Afrikaans				
Circus ranivorus	Afrikaanse Vleivalk(Paddavreter)		Afrikaans				
Oriolus auratus	Afrikaanse Wielewaal		Afrikaans				
Syncerus caffer	Afrika-buffel		Afrikaans				
Loxodonta africana	Afrika-olifant		Afrikaans				
Civettictis civetta	Afrika-siwet		Afrikaans				
Parus cinerascens	Akasiagrysmees		Afrikaans				
Kaupifalco monogrammicus	Akkedisvalk		Afrikaans				
Pluvialis dominica	Amerikaanse Goue Strandkiewiet		Afrikaans				
Porphyrio martinicus	Amerikaanse Koningriethaan		Afrikaans				
Hypsugo anchietae 	Anchieta se vlermuis		Afrikaans				
Cistugo seabrai 	Angola-Ianghaarvlermuis		Afrikaans				
Mops condylurus	Angola-Iosstertvlermuis		Afrikaans				
Pitta angolensis	Angolapitta		Afrikaans				
Mops condylurus	Angolese losstertvlermuis		Afrikaans				
Otomys angoniensis 	Angoni-vleirot		Afrikaans				
Chaerephon ansorgei	Ansorge se losstertvlermuis		Afrikaans				
Arctocephalus gazella	Antarktiese pelsrob		Afrikaans				
Thalassoica antarctica	Antarktiese Stormvoël		Afrikaans				
Pachyptila desolata	Antarktiese Walvisvoël		Afrikaans				
Stercorarius parasiticus	Arktiese Roofmeeu		Afrikaans				
Sterna paradisaea	Arktiese Sterretjie		Afrikaans				
Berardius arnuxii 	Arnoux se snoetwalvis		Afrikaans				
Pluvialis fulva	Asiatiese Goue Strandkiewiet		Afrikaans				
