Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Sub Phylum	Class	Infraclass	Super Cohort	Cohort	Super Order	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Infraspecies	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
10001	Animalia		Animalia																		Kingdom					1
10002	Chordata		Animalia	Chordata																	Phylum					
10003	Vertebrata		Animalia	Chordata	Vertebrata																Sub Phylum					1
10004	Amphibia		Animalia	Chordata	Vertebrata	Amphibia															Class					1
10005	Anura		Animalia	Chordata	Vertebrata	Amphibia					Anura										Order					1
10006	Arthroleptinae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae						Family					1
10007	Arthroleptinae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae					Subfamily					1
10008	Arthroleptis Smith, 1849		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Arthroleptis			Genus					1
10009	Arthroleptis stenodactylus Pfeffer, 1893		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Arthroleptis	stenodactylus 		Species					1
10010	Arthroleptis wahlbergii Smith, 1849		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Arthroleptis	wahlbergii 		Species					1
10011	Leptopelis Günther, 1859		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Leptopelis			Genus					1
10012	Leptopelis bocagi (Günther, 1865)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Leptopelis	bocagi		Species					1
10013	Leptopelis mossambicus Poynton, 1985		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Leptopelis	mossambicus 		Species					1
10014	Leptopelis natalensis (Smith, 1849)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Leptopelis	natalensis 		Species					1
10015	Leptopelis xenodactylus Poynton, 1963		Animalia	Chordata	Vertebrata	Amphibia					Anura				Arthroleptidae	Arthroleptinae		Leptopelis	xenodactylus 		Species					1
10016	Bufonidae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae						Family					1
10017	Amietophrynus Frost et al., 2006		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus			Genus					1
10018	Amietophrynus garmani (Meek, 1897)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus	garmani 		Species					1
10019	Amietophrynus gutturalis (Power, 1927)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus	gutturalis 		Species					1
10020	Amietophrynus maculatus (Hallowell, 1854)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus	maculatus 		Species					1
10021	Amietophrynus pantherinus (Smith, 1828)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus	pantherinus 		Species					1
10022	Amietophrynus pardalis (Hewitt, 1935)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus	pardalis 		Species					1
10023	Amietophrynus poweri (Hewitt, 1935)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus	poweri 		Species					1
10024	Amietophrynus rangeri (Hewitt, 1935)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Amietophrynus	rangeri 		Species					1
10025	Capensibufo Grandison, 1980		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Capensibufo			Genus					1
10026	Capensibufo rosei (Hewitt, 1926)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Capensibufo	rosei 		Species					1
10027	Capensibufo tradouwi (Hewitt, 1926)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Capensibufo	tradouwi 		Species					1
10028	Poyntonophrynus Frost et al., 2006		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Poyntonophrynus			Genus					1
10029	Poyntonophrynus fenoulheti (Hewitt & Methuen, 1912)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Poyntonophrynus	fenoulheti 		Species					1
10030	Poyntonophrynus vertebralis (Smith, 1848)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Poyntonophrynus	vertebralis 		Species					1
10031	Schismaderma Smith, 1849		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Schismaderma			Genus					1
10032	Schismaderma carens (Smith, 1848)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Schismaderma	carens 		Species					1
10033	Vandijkophrynus Frost et al., 2006		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Vandijkophrynus			Genus					1
10034	Vandijkophrynus amatolicus (Hewitt, 1925)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Vandijkophrynus	amatolicus 		Species					1
10035	Vandijkophrynus angusticeps (Smith, 1848)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Vandijkophrynus	angusticeps 		Species					1
10036	Vandijkophrynus gariepensis (Smith, 1848)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Vandijkophrynus	gariepensis 		Species			author also listed as Hewitt, 1927		1
10037	Vandijkophrynus gariepensis gariepensis (Smith, 1848)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Bufonidae			Vandijkophrynus	gariepensis 	gariepensis	Infraspecies			not recognised by catalogue of life		1
