measurementValue	valueURI
Female	http://purl.obolibrary.org/obo/PATO_0000383
female 	http://purl.obolibrary.org/obo/PATO_0000383
Male	http://purl.obolibrary.org/obo/PATO_0000384
male	http://purl.obolibrary.org/obo/PATO_0000384
adult	http://www.ebi.ac.uk/efo/EFO_0001272
male & female	http://eol.org/schema/terms/maleAndFemale
male and female	http://eol.org/schema/terms/maleAndFemale
male/unsexed	http://eol.org/schema/terms/maleOrUnsexed
undetermined	http://eol.org/schema/terms/unknown
1-year old	http://eol.org/schema/terms/yearling
Gametophyte	http://purl.obolibrary.org/obo/PO_0025340
Medusa	https://eol.org/schema/terms/medusoid
Sporophyte	http://purl.obolibrary.org/obo/PO_0007134
copepodite VI	http://eol.org/schema/terms/copepodid6
egg	http://eol.org/schema/terms/eggStage
fetus	http://purl.obolibrary.org/obo/UBERON_0000068
hatchling	http://eol.org/schema/terms/hatchling
hydroid	https://www.wikidata.org/entity/Q61994851
juvenile	http://purl.obolibrary.org/obo/PATO_0001190
larva	http://purl.obolibrary.org/obo/PATO_0001185
larvae	http://purl.obolibrary.org/obo/PATO_0001185
larvae (cyphonautes)	http://purl.obolibrary.org/obo/PATO_0001185
length	http://semanticscience.org/resource/SIO_000041
manca	https://eol.org/schema/terms/manca
neonate	http://purl.obolibrary.org/obo/UBERON_0007221
subadult	http://eol.org/schema/terms/subadult
Maximum	http://semanticscience.org/resource/SIO_001114
Minimum	http://semanticscience.org/resource/SIO_001113
average	http://eol.org/schema/terms/average
common	http://eol.org/schema/terms/average
mean	http://semanticscience.org/resource/SIO_001109
mm	http://purl.obolibrary.org/obo/UO_0000016
standard mean	http://semanticscience.org/resource/SIO_001109
unknown	http://eol.org/schema/terms/unknown
nauplius	http://purl.obolibrary.org/obo/UBERON_0014406
polyp	https://www.wikidata.org/entity/Q61994851
postlarva	http://purl.obolibrary.org/obo/PATO_0001190
ephyra	http://purl.obolibrary.org/obo/BTO_0006391
podocyst	http://eol.org/schema/terms/podocyst
Macrothallus	http://eol.org/schema/terms/macrothallus
Microthallus	http://eol.org/schema/terms/microthallus
eudoxid	http://eol.org/schema/terms/eudoxid
polygastric	FILTER OUT
colony	http://eol.org/schema/terms/Colonial
planula	https://www.wikidata.org/entity/Q943388
zoea	https://www.wikidata.org/entity/Q1968233
Body size > Gender	http://rs.tdwg.org/dwc/terms/sex
Body size > Stage	http://rs.tdwg.org/dwc/terms/lifeStage
Body size > Type	http://eol.org/schema/terms/statisticalMethod
Feedingtype > Stage	http://rs.tdwg.org/dwc/terms/lifeStage
Functional group > Stage	http://rs.tdwg.org/dwc/terms/lifeStage
Body size > Locality (MRGID)	http://rs.tdwg.org/dwc/terms/locality
hermaphrodite	http://purl.obolibrary.org/obo/UBERON_0007197
cerinula	https://species-id.net/zooterms/cerinula_larva
medusoid	https://eol.org/schema/terms/medusoid
-- below from: https://github.com/EOL/ContentImport/issues/42#issuecomment-4239797507 ---
1-year old
Adult	http://www.ebi.ac.uk/efo/EFO_0001272
Copepodite stage I	http://purl.obolibrary.org/obo/UBERON_8200002
Copepodite stage II	http://purl.obolibrary.org/obo/UBERON_8200003
Copepodite stage III	http://purl.obolibrary.org/obo/UBERON_8200004
Copepodite stage IV	http://purl.obolibrary.org/obo/UBERON_8200005
Copepodite stage V	http://purl.obolibrary.org/obo/UBERON_8200006
Copepodite stage, not further specified	http://purl.obolibrary.org/obo/UBERON_0014860
Larva	http://purl.obolibrary.org/obo/PATO_0001185
Macrothallus	http://eol.org/schema/terms/macrothallus
Medusa	https://www.wikidata.org/entity/Q4376770
Microthallus	http://eol.org/schema/terms/microthallus
Nauplius	http://purl.obolibrary.org/obo/UBERON_0014406
adult	http://www.ebi.ac.uk/efo/EFO_0001272
akinetes
cerinula	https://species-id.net/zooterms/cerinula_larva
colony	http://purl.obolibrary.org/obo/IDO_0000615
copepodite VI	http://purl.obolibrary.org/obo/UBERON_8200007
egg	https://www.wikidata.org/entity/Q17147
ephyra	http://purl.obolibrary.org/obo/BTO_0006391
eudoxid	http://eol.org/schema/terms/eudoxid
fetus	http://www.ebi.ac.uk/efo/EFO_0001323
gametophyte	http://purl.obolibrary.org/obo/PO_0025340
hatchling	http://eol.org/schema/terms/hatchling
hydroid	https://www.wikidata.org/entity/Q61994851
juvenile	http://purl.obolibrary.org/obo/PATO_0001190
larva	http://purl.obolibrary.org/obo/PATO_0001185
length	http://semanticscience.org/resource/SIO_000041
manca	https://eol.org/schema/terms/manca","http://eol.org/schema/terms/manca
medusa	https://www.wikidata.org/entity/Q4376770
medusoid	https://eol.org/schema/terms/medusoid
nauplius	http://purl.obolibrary.org/obo/UBERON_0014406
neonate	http://purl.obolibrary.org/obo/UBERON_0007221
planula	https://www.wikidata.org/entity/Q943388
podocyst	http://eol.org/schema/terms/podocyst
polygastric
polyp	https://www.wikidata.org/entity/Q689884
post-cystacanth
postlarva	http://purl.obolibrary.org/obo/PATO_0001501
spat	http://purl.obolibrary.org/obo/PATO_0001501
sporophyte	http://purl.obolibrary.org/obo/PO_0007134
stage
subadult	http://eol.org/schema/terms/subadult
zoea	https://www.wikidata.org/entity/Q1968233
