measurementType,measurementTypeURL,measurementValue,measurementValueURL,measurementRemarks
Feedingtype,http://www.wikidata.org/entity/Q1053008,carnivore,https://www.wikidata.org/entity/Q81875,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,deposit feeder,http://eol.org/schema/terms/depositFeeder,
Feedingtype,http://www.wikidata.org/entity/Q1053008,detritus feeder,http://wikidata.org/entity/Q2750657,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,ectoparasitic,http://www.wikidata.org/entity/Q7880449,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,endoparasitic,https://www.wikidata.org/entity/Q9300235,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,epigrowth feeder,http://eol.org/schema/terms/epifauna_feeder,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,filter feeder,http://www.wikidata.org/entity/Q1252491,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,grazer,http://www.wikidata.org/entity/Q37619060,
Feedingtype,http://www.wikidata.org/entity/Q1053008,herbivore,https://www.wikidata.org/entity/Q59099,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,kleptivore,https://www.wikidata.org/entity/Q1479109,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,kleptovore,https://www.wikidata.org/entity/Q1479109,
Feedingtype,http://www.wikidata.org/entity/Q1053008,omnivore,https://www.wikidata.org/entity/Q164509,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,on algae,https://www.wikidata.org/entity/Q7486201,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,on mobile prey,https://eol.org/schema/terms/mobile_prey_feeder,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,on sessile prey,https://eol.org/schema/terms/sessile_prey_feeder,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,parasitic,https://www.wikidata.org/entity/Q12806437,
Feedingtype,http://www.wikidata.org/entity/Q1053008,predator,https://www.wikidata.org/entity/Q170430,
Feedingtype,http://www.wikidata.org/entity/Q1053008,predator/omnivore,https://www.wikidata.org/entity/Q164509,predator/omnivore
Feedingtype,http://eol.org/schema/terms/TrophicGuild,scavenger,http://www.wikidata.org/entity/Q172867,
Feedingtype,http://www.wikidata.org/entity/Q1053008,subsurface,http://eol.org/schema/terms/subsurfaceDepositFeeder,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,surface,http://eol.org/schema/terms/surfaceDepositFeeder,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,suspension feeder,http://eol.org/schema/terms/suspensionFeeder,
Feedingtype,http://eol.org/schema/terms/TrophicGuild,with chemosymbionts,http://eol.org/schema/terms/chemosymbiotroph,
Feedingtype,http://www.wikidata.org/entity/Q1053008,xylophagous,http://www.wikidata.org/entity/Q45879481,
Functional group,http://rs.tdwg.org/dwc/terms/habitat,benthos,http://purl.obolibrary.org/obo/ENVO_01000024,
Functional group,http://rs.tdwg.org/dwc/terms/habitat,edaphofauna,http://purl.obolibrary.org/obo/ENVO_00001998,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,epibenthos,http://www.wikidata.org/entity/Q640114,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,hyperbenthos,http://eol.org/schema/terms/nektobenthic,
Functional group,http://rs.tdwg.org/dwc/terms/habitat,land (terrestrial),http://purl.obolibrary.org/obo/ENVO_00000446,
Functional group,http://rs.tdwg.org/dwc/terms/habitat,macrobenthos,http://purl.obolibrary.org/obo/ENVO_01000024,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,nekton,http://www.marinespecies.org/traits/Nekton,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,neuston,https://eol.org/schema/terms/neuston,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,phytoplankton,http://www.marinespecies.org/traits/Plankton,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,plankton,http://www.marinespecies.org/traits/Plankton,
Functional group,http://eol.org/schema/terms/EcomorphologicalGuild,zooplankton,http://www.marinespecies.org/traits/Plankton,
Paraphyletic group,http://eol.org/schema/terms/EcomorphologicalGuild,Algae,https://www.wikidata.org/entity/Q37868,
Paraphyletic group,http://eol.org/schema/terms/growthHabit,Macroalgae,http://purl.obolibrary.org/obo/OMIT_0013523,
Paraphyletic group,http://eol.org/schema/terms/EcomorphologicalGuild,Mangroves,http://eol.org/schema/terms/mangroves,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,Endoskeleton,http://purl.obolibrary.org/obo/UBERON_0010362,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,Exoskeleton (including shells),http://purl.obolibrary.org/obo/UBERON_0006611,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,External tube,http://www.marinespecies.org/traits/ExternalTube,
Supporting structure & enclosure,http://www.marinespecies.org/traits/SupportingStructuresEnclosures,Hydrostatic skeleton,http://www.marinespecies.org/traits/Hydrostatic,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,Non-solid> cement,http://www.marinespecies.org/traits/NonSolidCement,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,Non-solid> particles,http://www.marinespecies.org/traits/NonSolidParticlesComp,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,Solid,http://purl.obolibrary.org/obo/PATO_0001485,
Supporting structure & enclosure > Structure,http://purl.obolibrary.org/obo/OBA_0002342,solid,http://purl.obolibrary.org/obo/PATO_0001485,
