measurementType,measurementTypeURL,measurementValue,measurementValueURL,measurementRemarks
formerly 'Feedingtype',,,,
Trophic level,http://www.wikidata.org/entity/Q1053008,carnivore,https://www.wikidata.org/entity/Q81875,
Trophic level,http://www.wikidata.org/entity/Q1053008,herbivore,https://www.wikidata.org/entity/Q59099,
Trophic level,http://www.wikidata.org/entity/Q1053008,omnivore,https://www.wikidata.org/entity/Q164509,
Ecological interactions,http://eol.org/schema/terms/TrophicGuild,ectoparasitic,http://www.wikidata.org/entity/Q7880449,
Ecological interactions,http://eol.org/schema/terms/TrophicGuild,endoparasitic,https://www.wikidata.org/entity/Q9300235,
Ecological interactions,http://eol.org/schema/terms/TrophicGuild,parasitic,https://www.wikidata.org/entity/Q12806437,
Ecological interactions,http://eol.org/schema/terms/TrophicGuild,with chemosymbionts,http://eol.org/schema/terms/chemosymbiotroph,
Feeding method,http://eol.org/schema/terms/TrophicGuild,deposit feeder,http://eol.org/schema/terms/depositFeeder,
Feeding method,http://eol.org/schema/terms/TrophicGuild,epigrowth feeder,http://eol.org/schema/terms/epifauna_feeder,
Feeding method,http://eol.org/schema/terms/TrophicGuild,filter feeder,http://www.wikidata.org/entity/Q1252491,
Feeding method,http://eol.org/schema/terms/TrophicGuild,grazer,http://www.wikidata.org/entity/Q37619060,
Feeding method,http://eol.org/schema/terms/TrophicGuild,kleptovore,https://www.wikidata.org/entity/Q1479109,
Feeding method,http://eol.org/schema/terms/TrophicGuild,on algae,https://www.wikidata.org/entity/Q7486201,
Feeding method,http://eol.org/schema/terms/TrophicGuild,on mobile prey,https://eol.org/schema/terms/mobile_prey_feeder,
Feeding method,http://eol.org/schema/terms/TrophicGuild,on sessile prey,https://eol.org/schema/terms/sessile_prey_feeder,
Feeding method,http://www.wikidata.org/entity/Q1053008,predator,https://www.wikidata.org/entity/Q170430,
Feeding method,http://www.wikidata.org/entity/Q1053008,predator/omnivore,https://www.wikidata.org/entity/Q164509,predator/omnivore
Feeding method,http://eol.org/schema/terms/TrophicGuild,scavenger,http://www.wikidata.org/entity/Q172867,
Feeding method,http://www.wikidata.org/entity/Q1053008,subsurface,http://eol.org/schema/terms/subsurfaceDepositFeeder,
Feeding method,http://eol.org/schema/terms/TrophicGuild,surface,http://eol.org/schema/terms/surfaceDepositFeeder,
Feeding method,http://eol.org/schema/terms/TrophicGuild,suspension feeder,http://eol.org/schema/terms/suspensionFeeder,
-not found-,http://www.wikidata.org/entity/Q1053008,detritus feeder,http://wikidata.org/entity/Q2750657,
-not found-,http://eol.org/schema/terms/TrophicGuild,kleptivore,https://www.wikidata.org/entity/Q1479109,
-not found-,http://www.wikidata.org/entity/Q1053008,xylophagous,http://www.wikidata.org/entity/Q45879481,
-continued-,,,,
Functional group,http://rs.tdwg.org/dwc/terms/habitat,benthos,http://purl.obolibrary.org/obo/ENVO_01000024,
