Zenodo_id	Resource_id	Resource_name	Resource_URL	OpenData_URL
13318002	microscope	micro*scope	https://editors.eol.org/uploaded_resources/55a/d62/microscope.xml.gz	https://opendata.eol.org/dataset/4a668cee-f1da-4e95-9ed1-cb755a9aca4f/resource/55ad629d-dd89-4bac-8fff-96f219f4b323
13318002	archive	micro*scope	https://editors.eol.org/uploaded_resources/5d2/9fb/archive.zip	https://opendata.eol.org/dataset/4a668cee-f1da-4e95-9ed1-cb755a9aca4f/resource/5d29fb01-4c48-4372-9097-dece26342947
13318008	microscope_2024_06_05	micro*scope 2024	https://editors.eol.org/eol_php_code/applications/content_server/resources/microscope_2024_06_05.zip	https://opendata.eol.org/dataset/4a668cee-f1da-4e95-9ed1-cb755a9aca4f/resource/9888955c-75c4-4a4e-8b6f-d2cde739618e
13316369	SC_afganistan	Afghanistan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_afganistan.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/036c51e5-5541-41bb-8435-c1b16a1b533a
13317275	SC_albania	Albania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_albania.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/f6a51847-dbec-4762-9859-3aedae9d9a6d
13317278	SC_algeria	Algeria Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_algeria.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/c24f83c4-6e6d-4d7e-acc6-3a4d21e52e74
13316375	SC_andorra	Andorra Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_andorra.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/1e19eb9d-18ee-4741-a518-0ce21f734f0a
13317286	SC_angola	Angola Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_angola.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/d99213ff-09de-42ae-b7e0-6456c6762f00
13316379	SC_antiguabarbuda	Antigua and Barbuda Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_antiguabarbuda.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/fbe8ca69-82d6-4aa4-88da-aa7597bb66e6
13317290	SC_armenia	Armenia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_armenia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/48f01d01-212f-4d1b-8bc7-d2f69a003277
13317292	SC_australia	Australia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_australia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/aea9ba91-bb0e-42db-8db2-27cee92d0867
13316387	SC_argentina	Argentina Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_argentina.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/7ccfd369-297e-4db4-bb9b-81692389848e
13316401	SC_austria	Austria Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_austria.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/227d692a-6fe5-4e97-b6e6-b0f359725582
13316403	SC_azerbaijan	Azerbaijan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_azerbaijan.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e7492df3-4448-497c-9a47-df3bee44c448
