Label	URI
Rundell, R.J.	http://eol.org/schema/terms/Rundell_RJ
Barker, G.	http://eol.org/schema/terms/Barker_G
Cowie, R.	http://eol.org/schema/terms/Cowie_R
Triantis, K.	http://eol.org/schema/terms/Triantis_K
García, N.	http://eol.org/schema/terms/Garcia_N
Seddon, M.	http://eol.org/schema/terms/Seddon_M
Vidthayanon, C.	http://eol.org/schema/terms/Vidthayanon_C
Rainboth, W.	http://eol.org/schema/terms/Rainboth_W
Kottelat, M.	http://eol.org/schema/terms/Kottelat_M
Parenti, L.	http://eol.org/schema/terms/Parenti_L
Allen, D.J.	http://eol.org/schema/terms/Allen_DJ
Bernal, N.	http://eol.org/schema/terms/Bernal_N
Amori, G.	http://eol.org/schema/terms/Amori_G
Townsend, J.H.	http://eol.org/schema/terms/Townsend_JH
Köhler , G.	http://eol.org/schema/terms/Köhler_G
Bowles, P.	http://eol.org/schema/terms/Bowles_P
Dow, R.A.	http://eol.org/schema/terms/Dow_RA
Endersby, I.	http://eol.org/schema/terms/Endersby_I
Theischinger, G.	http://eol.org/schema/terms/Theischinger_G
Groh, K.	http://eol.org/schema/terms/Groh_K
Alonso, M.R.	http://eol.org/schema/terms/Alonso_MR
Neubert, E.	http://eol.org/schema/terms/Neubert_E
Seddon, M.B.	http://eol.org/schema/terms/Seddon_MB
Cuttelod, A.	http://eol.org/schema/terms/Cuttelod_A
Goren, M.	http://eol.org/schema/terms/Goren_M
Freyhof, J.	http://eol.org/schema/terms/Freyhof_J
Smith, K.	http://eol.org/schema/terms/SmithK
Vinke, T.	http://eol.org/schema/terms/Vinke_T
Vinke, S.	http://eol.org/schema/terms/Vinke_S
van Dijk, P.P.	http://eol.org/schema/terms/Van_Dijk_PP
Horne, B.D.	http://eol.org/schema/terms/Horne_BD
Fernado, M.	http://eol.org/schema/terms/Fernado_M
Kotagama, O.	http://eol.org/schema/terms/Kotagama_O
de Alwis Goonatilake, S.	http://eol.org/schema/terms/de_Alwis_Goonatilake_S
Maiz-Tome, L.	http://eol.org/schema/terms/Maiz-Tome_L
Raghavan, R.	http://eol.org/schema/terms/Raghavan_R
Sket, B.	http://eol.org/schema/terms/Sket_B
Crivelli, A.J.	http://eol.org/schema/terms/Crivelli_AJ
Freyhoff, J.	http://eol.org/schema/terms/Freyhoff_J
Tsang, S.M.	http://eol.org/schema/terms/Tsang_SM
Mildenstein, T.	http://eol.org/schema/terms/Mildenstein_T
Battistoni, A.	http://eol.org/schema/terms/Battistoni_A
Paguntalan, L.	http://eol.org/schema/terms/Paguntalan_L
Widmann, P.	http://eol.org/schema/terms/Widmann_P
Lacerna, I.	http://eol.org/schema/terms/Lacerna_I
Jakosalem, P.G.	http://eol.org/schema/terms/Jakosalem_PG
Waldien, D.L.	http://eol.org/schema/terms/Waldien_DL
Kidera, N.	http://eol.org/schema/terms/Kidera_N
Ota, H.	http://eol.org/schema/terms/Ota_H
de Winter, A.J.	http://eol.org/schema/terms/de_Winter_AJ
Hadfield, M.	http://eol.org/schema/terms/Hadfield_M
Hadway, L.	http://eol.org/schema/terms/Hadway_L
Chen, X.-Y.	http://eol.org/schema/terms/Chen_X-Y
Yang, J.	http://eol.org/schema/terms/Yang_J
Hasegawa, K.	http://eol.org/schema/terms/Hasegawa_K
Kanao, S.	http://eol.org/schema/terms/Kanao_S
Miyazaki, Y.	http://eol.org/schema/terms/Miyazaki_Y
Mukai, T.	http://eol.org/schema/terms/Mukai_T
Nakajima, J.	http://eol.org/schema/terms/Nakajima_J
Takaku, K.	http://eol.org/schema/terms/Takaku_K
Taniguchi, Y.	http://eol.org/schema/terms/Taniguchi_Y
Sayer, C.	http://eol.org/schema/terms/Sayer_C
Clausnitzer, V.	http://eol.org/schema/terms/Clausnitzer_V
Suhling, F.	http://eol.org/schema/terms/Suhling_F
Kipping, J.	http://eol.org/schema/terms/Kipping_J
Dijkstra, K.-D.B.	http://eol.org/schema/terms/Dijkstra_K-DB
Menez, A.	http://eol.org/schema/terms/Menez_A
Gavira, Ó.	http://eol.org/schema/terms/Gavira_Ó
Heller, J.	http://eol.org/schema/terms/Heller_J
Vardinoyannis, K.	http://eol.org/schema/terms/Vardinoyannis_K
Páll-Gergely, B.	http://eol.org/schema/terms/Pall-Gergely_B
Slapnik, R.	http://eol.org/schema/terms/Slapnik_R
Fehér, Z.	http://eol.org/schema/terms/Feher_Z
Livingstone, S.	http://eol.org/schema/terms/Livingstone_S
Foster, G.	http://eol.org/schema/terms/Foster_G
Durant, S.	http://eol.org/schema/terms/Durant_S
Mitchell, N.	http://eol.org/schema/terms/Mitchell_N
Ipavec, A.	http://eol.org/schema/terms/Ipavec_A
Groom, R.	http://eol.org/schema/terms/Groom_R
Nowell, K.	http://eol.org/schema/terms/Nowell_K
Hunter, L.	http://eol.org/schema/terms/Hunter_L
Breitenmoser-Würsten, C.	http://eol.org/schema/terms/Breitenmoser-Wursten_C
Lanz, T.	http://eol.org/schema/terms/Lanz_T
Breitenmoser, U.	http://eol.org/schema/terms/Breitenmoser_U
Jowkar, H.	http://eol.org/schema/terms/Jowkar_H
Ziaie, H.	http://eol.org/schema/terms/Ziaie_H
Marker, L.	http://eol.org/schema/terms/Marker_L
Breitenmoser-Wursten, C.	http://eol.org/schema/terms/Breitenmoser-Wursten_C
Belbachir, F.	http://eol.org/schema/terms/Belbachir_F
St. Pierre, R.	http://eol.org/schema/terms/St_Pierre_R
Bronzi, P.	http://eol.org/schema/terms/Bronzi_P
Congiu, L.	http://eol.org/schema/terms/Congiu_L
Rossi, R.	http://eol.org/schema/terms/Rossi_R
Zerunian, S.	http://eol.org/schema/terms/Zerunian_S
Arlati , G.	http://eol.org/schema/terms/Arlati__G
Pourkazemi, M.	http://eol.org/schema/terms/Pourkazemi_M
Suciu, R.	http://eol.org/schema/terms/Suciu_R
Gesner, J.	http://eol.org/schema/terms/Gesner_J
Gessner, J.	http://eol.org/schema/terms/Gessner_J
Ruban, G.	http://eol.org/schema/terms/Ruban_G
Qiwei, W.	http://eol.org/schema/terms/Qiwei_W
