Page ID	eol_pk	Value URI	Label
42400023	R101-PK14506803	http://www.marineregions.org/gazetteer.php?p=details&id=1908	PRM and REP
4530283	R400-PK16200255	http://www.geonames.org/3017382	PRM and REP
4441359	R400-PK16187828	http://www.geonames.org/3017382	PRM and REP
4528815	R207-PK15283086	http://www.geonames.org/6251999	REP
4528815	R344-PK19347603	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4528836	R344-PK19363147	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528839	R344-PK19331250	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528833	R344-PK19356515	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528834	R344-PK19345123	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528838	R344-PK19321593	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528837	R344-PK19336066	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528832	R344-PK19355240	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528818	R344-PK19338463	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528841	R344-PK19321703	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528822	R344-PK19367268	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528805	R344-PK19365562	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528793	R344-PK19314582	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528801	R344-PK19327019	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528808	R288-PK15390856	http://www.geonames.org/1814991	PRM and REP
4528803	R344-PK19325142	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528800	R344-PK19325078	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528794	R344-PK19335516	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528799	R288-PK15388468	http://www.geonames.org/1814991	PRM and REP
4528849	R344-PK19315809	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528850	R344-PK19321548	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528846	R344-PK19348059	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528847	R344-PK19345038	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528851	R344-PK19352410	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4528852	R344-PK19359386	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4529205	R400-PK16183276	http://www.geonames.org/3017382	PRM and REP
24187719	R152-PK6845753	http://www.geonames.org/2635167	PRM and REP
42401245	R207-PK15270506	http://www.geonames.org/6251999	REP
42401245	R344-PK19363241	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
42401246	R207-PK15279695	http://www.geonames.org/6251999	REP
42401246	R344-PK19355255	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4527191	R207-PK15264580	http://www.geonames.org/6251999	REP
4527191	R344-PK19365670	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4529235	R344-PK19350970	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4529232	R344-PK19319848	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4529231	R344-PK19309173	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4529236	R207-PK15272731	http://www.geonames.org/6251999	REP
4529236	R344-PK19316868	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
