Index	higherClassification
Angiosperms	Acanthaceae|*
Protists	Acantharea|*
Fungi	Acaulosporaceae|*
Angiosperms	Achariaceae|*
Angiosperms	Achatocarpaceae|*
Angiosperms	Acoraceae|*
Bryophytes	Acrobolbaceae|*
Bacteria	Actinobacteria|*
Protists	Actinophryidae|*
Actinopterygii	Actinopterygii|*
Nematoda	Acuariidae|*
Bryophytes	Adelanthaceae|*
Hemiptera	Adelges|*
Bryophytes	Adelotheciaceae|*
Nematoda	Adenophorea|*
Viruses	Adenoviridae|*
Viruses	Adomaviridae|*
Angiosperms	Adoxaceae|*
Insecta	Aeolothrips|*
Tetrapoda	Agamidae|*
Arachnida	Agelenidae|*
Lepidoptera	Agrodiaetus|*
Diptera	Agromyzidae|*
Angiosperms	Aizoaceae|*
Viruses	Albetovirus|*
Protists	Albuginales|*
Viruses	Algavirales|*
Angiosperms	Alismataceae|*
Viruses	Alloherpesviridae|*
Viruses	Alphasatellitidae|*
Angiosperms	Alstroemeriaceae|*
Viruses	alsuviricetes|*
Angiosperms	Amaranthaceae|*
Viruses	Amarillovirales|*
Angiosperms	Amaryllidaceae|*
Fungi	Ambisporaceae|*
Bryophytes	Amblystegiaceae|*
Protists	Amoebozoa|*
Tetrapoda	Amphibia|*
Fungi	Amphisphaeriaceae|*
Viruses	Ampullaviridae|*
Angiosperms	Anacardiaceae|*
Tetrapoda	Anatidae|*
Bryophytes	Andreaeaceae|*
Viruses	Anelloviridae|*
Pteridophytes	Anemiaceae|*
Bryophytes	Aneuraceae|*
Angiosperms	Angiosperms|*
Animals	Animalia|
Protists	Animalia|Acanthamoeba|*
Tetrapoda	Animalia|Acanthion|*
Animals	Animalia|Acanthocephala|*
Protists	Animalia|Actinosphaera|*
Crustacea	Animalia|Alphaeidae|*
Protists	Animalia|Amoeba|*
Lepidoptera	Animalia|Ancyluris|*
Coleoptera	Animalia|Anisotarsus|*
Annelida	Animalia|Annelida|*
Protists	Animalia|Apicystis|*
Protists	Animalia|Arachnomyxa|*
Hemiptera	Animalia|Arcofaciella|*
Arthropoda	Animalia|Arthropoda|
Arachnida	Animalia|Arthropoda|Arachnida|*
Arachnida	Animalia|Arthropoda|Araneae|*
Crustacea	Animalia|Arthropoda|Branchiopoda|*
Crustacea	Animalia|Arthropoda|Calyptopis|*
Crustacea	Animalia|Arthropoda|Cephalocarida|*
Myriapoda	Animalia|Arthropoda|Chilopoda|*
Collembola	Animalia|Arthropoda|Collembola|*
Crustacea	Animalia|Arthropoda|Copepoda|*
Crustacea	Animalia|Arthropoda|Cyclopoida|*
Arthropoda	Animalia|Arthropoda|Dinocaridida|*
Myriapoda	Animalia|Arthropoda|Diplopoda|*
Arthropoda	Animalia|Arthropoda|Diplura|*
Crustacea	Animalia|Arthropoda|Elminiidae|*
