Index	higherClassification
Actinopterygii	.*?\|Acipenseriformes\|.*?
Actinopterygii	.*?\|Actinopteri\|.*?
Actinopterygii	.*?\|Actinopterygii\|.*?
Actinopterygii	.*?\|Albuliformes\|.*?
Actinopterygii	.*?\|Amiiformes\|.*?
Actinopterygii	.*?\|Andreolepis\|.*?
Actinopterygii	.*?\|Anguilliformes\|.*?
Actinopterygii	.*?\|Animalia\|(.*?\|)?Catastoma\|.*?
Actinopterygii	.*?\|Atheriniformes\|.*?
Actinopterygii	.*?\|Aulopiformes\|.*?
Actinopterygii	.*?\|Barbus\|.*?
Actinopterygii	.*?\|Batrachoidiformes\|.*?
Actinopterygii	.*?\|Beloniformes\|.*?
Actinopterygii	.*?\|Beryciformes\|.*?
Actinopterygii	.*?\|Bythitidae\|.*?
Actinopterygii	.*?\|Cetomimiformes\|.*?
Actinopterygii	.*?\|Characiformes\|.*?
Actinopterygii	.*?\|Characinidae\|.*?
Actinopterygii	.*?\|Chondrostei\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Bagrus\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Cassandra\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Leptocephalus\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Liognathus\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Microphallus\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Phalacrus\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Physocephalus\|.*?
Actinopterygii	.*?\|Chordata\|(.*?\|)?Taeniidae\|.*?
Actinopterygii	.*?\|Cladistia\|.*?
Actinopterygii	.*?\|Clupeiformes\|.*?
Actinopterygii	.*?\|Coregonidae\|.*?
Actinopterygii	.*?\|Crenilepis\|.*?
Actinopterygii	.*?\|Cypriniformes\|.*?
Actinopterygii	.*?\|Cyprinodontiformes\|.*?
Actinopterygii	.*?\|Elopiformes\|.*?
Actinopterygii	.*?\|Esociformes\|.*?
Actinopterygii	.*?\|Esocoidei\|.*?
Actinopterygii	.*?\|Gadiformes\|.*?
Actinopterygii	.*?\|Gasterosteiformes\|.*?
Actinopterygii	.*?\|Gobiesociformes\|.*?
Actinopterygii	.*?\|Gonorynchiformes\|.*?
Actinopterygii	.*?\|Gymnotiformes\|.*?
Actinopterygii	.*?\|Holostei\|.*?
Actinopterygii	.*?\|Iniomi\|.*?
Actinopterygii	.*?\|Lampriformes\|.*?
Actinopterygii	.*?\|Lepisosteiformes\|.*?
Actinopterygii	.*?\|Lophiiformes\|.*?
Actinopterygii	.*?\|Mugiliformes\|.*?
Actinopterygii	.*?\|Myctophiformes\|.*?
Actinopterygii	.*?\|Naxilepis\|.*?
Actinopterygii	.*?\|Notacanthiformes\|.*?
Actinopterygii	.*?\|Ophidiiformes\|.*?
Actinopterygii	.*?\|Osmeriformes\|.*?
Actinopterygii	.*?\|Osteoglossiformes\|.*?
Actinopterygii	.*?\|Oxudercidae\|.*?
Actinopterygii	.*?\|Paralepis\|.*?
Actinopterygii	.*?\|Percidae\|.*?
Actinopterygii	.*?\|Perciformes\|.*?
Actinopterygii	.*?\|Percopsiformes\|.*?
Actinopterygii	.*?\|Pleuronectiformes\|.*?
Actinopterygii	.*?\|Poecilidae\|.*?
Actinopterygii	.*?\|Polymixiiformes\|.*?
Actinopterygii	.*?\|Polypteriformes\|.*?
Actinopterygii	.*?\|Salmoniformes\|.*?
Actinopterygii	.*?\|Scophthalmidae\|.*?
Actinopterygii	.*?\|Scorpaeniformes\|.*?
Actinopterygii	.*?\|Siluriformes\|.*?
Actinopterygii	.*?\|Stephanoberyciformes\|.*?
Actinopterygii	.*?\|Stomiiformes\|.*?
Actinopterygii	.*?\|Synbranchiformes\|.*?
Actinopterygii	.*?\|Syngnathiformes\|.*?
Actinopterygii	.*?\|Teleostei\|.*?
Actinopterygii	.*?\|Tetraodontiformes\|.*?
Actinopterygii	.*?\|Vertebrata\|(.*?\|)?Taeniidae\|.*?
Actinopterygii	.*?\|Zeiformes\|.*?
Actinopterygii	.*?\|Vertebrata\|(.*?\|)?Laurida\|.*?
Actinopterygii	.*?\|Barbatus\|.*?
Actinopterygii	.*?\|Lavaretus\|.*?
Actinopterygii	.*?\|Syngnathus\|.*?
Actinopterygii	.*?\|Piaractus\|.*?
Angiosperms	.*?\|Acanthaceae\|.*?
Angiosperms	.*?\|Achariaceae\|.*?
Angiosperms	.*?\|Achatocarpaceae\|.*?
Angiosperms	.*?\|Achillea\|.*?
Angiosperms	.*?\|Achyranthes\|.*?
Angiosperms	.*?\|Acoraceae\|.*?
Angiosperms	.*?\|Acorales\|.*?
Angiosperms	.*?\|Adenanthera\|.*?
Angiosperms	.*?\|Adoxaceae\|.*?
Angiosperms	.*?\|Aeginetia\|.*?
Angiosperms	.*?\|Aegopodium\|.*?
Angiosperms	.*?\|Agavaceae\|.*?
Angiosperms	.*?\|Ageratum\|.*?
Angiosperms	.*?\|Agrimonia\|.*?
Angiosperms	.*?\|Agrostemma\|.*?
Angiosperms	.*?\|Agrostidium\|.*?
Angiosperms	.*?\|Agrostis\|.*?
Angiosperms	.*?\|Aizoaceae\|.*?
Angiosperms	.*?\|Aizoon\|.*?
Angiosperms	.*?\|Ajuga\|.*?
Angiosperms	.*?\|Alcea\|.*?
Angiosperms	.*?\|Alchemilla\|.*?
Angiosperms	.*?\|Alismataceae\|.*?
Angiosperms	.*?\|Alismatales\|.*?
Angiosperms	.*?\|Alliaceae\|.*?
Angiosperms	.*?\|Allium\|.*?
Angiosperms	.*?\|Aloaceae\|.*?
Angiosperms	.*?\|Aloe\|.*?
Angiosperms	.*?\|Aloites\|.*?
Angiosperms	.*?\|Alstroemeriaceae\|.*?
Angiosperms	.*?\|Althaea\|.*?
Angiosperms	.*?\|Alyssum\|.*?
