Taxon	EOL page	furtherInfoURL	mediaURL	
Acanthoceras spec.	https://eol.org/pages/92738	https://www.protisten.de/gallery-ARCHIVE/Acanthoceras-spec-parch2022-2.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthoceras-040-125-P6020240-251-totale-ODB.jpg	
Acanthoceras spec.	https://eol.org/pages/92738	https://www.protisten.de/gallery-ARCHIVE/Acanthoceras-spec-parch2022-3.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthoceras-040-125-P6020260-ODB.jpg	
Acanthocystis pectinata	https://eol.org/pages/46701236	https://www.protisten.de/gallery-ARCHIVE/Acanthocystis-pectinata-parch2022-4.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-pectinata-040-200-PB104788-803-DOS.jpg	
Acanthocystis penardi	https://eol.org/pages/46701236	https://www.protisten.de/gallery-ARCHIVE/Acanthocystis-penardi-parch2022-5.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-penardi-040-200-PB104690-722-DOS.jpg	
Acanthocystis penardi	https://eol.org/pages/46701236	https://www.protisten.de/gallery-ARCHIVE/Acanthocystis-penardi-parch2022-6.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-penardi-063-200-P6122130-151-DOS-INET800.jpg	
Acanthocystis turfacea 	https://eol.org/pages/488710	https://www.protisten.de/gallery-ARCHIVE/Acanthocystis-turfacea-parch2022-7.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-turfacea-040-100-P6101405-PIL.jpg	
Acanthocystis turfacea 	https://eol.org/pages/488710	https://www.protisten.de/gallery-ARCHIVE/Acanthocystis-turfacea-parch2022-8.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-turfacea-020-200-2-B089977-90018-transversal-WPT.jpg	
Acanthocystis turfacea 	https://eol.org/pages/488710	https://www.protisten.de/gallery-ARCHIVE/Acanthocystis-turfacea-parch2022-9.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-turfacea-020-200-2-B089977-90018-WPT.jpg	
Achnanthes spec.	https://eol.org/pages/47079530	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-spec-parch2022-10.html	https://www.protisten.de/gallery-ARCHIVE/pics/Cryptocoryne-wendtii-Achnanthes-040-125-2-IMG-6145-161-025-AQU.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-11.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-040-100-P9259811-843-2-HID.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-12.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-040-160-PA206707-21-Schaerfe-6-16-2ndEd-HID.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-13.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-040-160-PA237211-219-DF-HID.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-14.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-040-200-PA247580-597-gedreht-HID.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-15.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-040-200-PA247580-597-HID.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-16.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-025-125-9060124-140-1-Kerne-HID.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-17.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-025-125-9060124-140-2-Chloroplasten-HID.jpg	
Achnanthes longipes	https://eol.org/pages/897634	https://www.protisten.de/gallery-ARCHIVE/Achnanthes-longipes-parch2022-18.html	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-025-125-9060124-140-3-Frustel-HID.jpg	
Achromatium oxaliferum	https://eol.org/pages/898974	https://www.protisten.de/gallery-ARCHIVE/Achromatium-oxaliferum-parch2022-19.html	https://www.protisten.de/gallery-ARCHIVE/pics/achromatium-oxaliferum-jwbw.jpg	
Achromatium oxaliferum	https://eol.org/pages/898974	https://www.protisten.de/gallery-ARCHIVE/Achromatium-oxaliferum-parch2022-20.html	https://www.protisten.de/gallery-ARCHIVE/pics/achromatium-oxaliferum-tandem-w.jpg	
Acineta spec	https://eol.org/pages/46588902	https://www.protisten.de/gallery-ARCHIVE/Acineta-spec-parch2022-21.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acineta-spec-025-100-P9282676-BOD.jpg	
Acineta tuberosa	https://eol.org/pages/46588903	https://www.protisten.de/gallery-ARCHIVE/Acineta-tuberosa-parch2022-22.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acineta-tuberosa-025-100-P9282720-731-BOD.jpg	
Acineta tuberosa	https://eol.org/pages/46588903	https://www.protisten.de/gallery-ARCHIVE/Acineta-tuberosa-parch2022-23.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acineta-tuberosa-IMG-3730-1-HID.jpg	
Acineta tuberosa	https://eol.org/pages/46588903	https://www.protisten.de/gallery-ARCHIVE/Acineta-tuberosa-parch2022-24.html	https://www.protisten.de/gallery-ARCHIVE/pics/Tokophrya-040-100-P9294514-523-2-50mju-HID.jpg	
Acineta tuberosa	https://eol.org/pages/46588903	https://www.protisten.de/gallery-ARCHIVE/Acineta-tuberosa-parch2022-25.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acineta-tuberosa-025-100-A25698-998-HID.jpg	
Acineta tuberosa	https://eol.org/pages/46588903	https://www.protisten.de/gallery-ARCHIVE/Acineta-tuberosa-parch2022-26.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acineta-tuberosa-040-100-A023900-911-HID.jpg	
Acineta tuberosa	https://eol.org/pages/46588903	https://www.protisten.de/gallery-ARCHIVE/Acineta-tuberosa-parch2022-27.html	https://www.protisten.de/gallery-ARCHIVE/pics/Acineta-tuberosa-040-100-A023946-967-HID.jpg	
Actinophrys sol	https://eol.org/pages/488716	https://www.protisten.de/gallery-ARCHIVE/Actinophrys-sol-parch2022-28.html	https://www.protisten.de/gallery-ARCHIVE/pics/Actinophrys-sol-025-125-P9282702-BOD.jpg	
