identifier	taxonID	type	format	description	accessURI	furtherInformationURL	language	UsageTerms	Owner	agentID
b1a1267a8ae246fc6c6509215cb90956	cca346e3c523a12c1532c45d6de2ad98	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthoceras zachariasii Scale bar indicates 50 µm. The specimen was gathered in the wetlands of national park Unteres Odertal (100 km north east of Berlin). The image was built up using several photomicrographic frames with manual stacking technique. Images were taken using Zeiss Universal with Olympus C7070 CCD camera. Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Creek in Oder valley 100 km north east of Berlin (Germany) Latitude: 53.135032 Longitude: 14.348738 Der Messbalken markiert eine Länge von 50 µm. Die Probe wurde in den Feuchtgebieten des Nationalpark Unteres Odertal (100 km nordöstlich von Berlin) gesammelt. Mikrotechnik: Zeiss Universal, Kamera: Olympus C7070. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthoceras-zachariasii-040-125-P6020240-251-totale-ODB_NEW.jpg	http://www.protisten.de/gallery-ALL/2-Acanthoceras-spec.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
1746864dce0cbde41f9efff68fd64fd5	ddd0f06697e19b1330d5a2fee591b29b	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthoceras spec. Scale bar indicates 50 µm. The specimen was gathered in the wetlands of national park Unteres Odertal (100 km north east of Berlin). The image was built up using several photomicrographic frames with manual stacking technique. Images were taken using Zeiss Universal with Olympus C7070 CCD camera. Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Creek in Oder valley 100 km north east of Berlin (Germany) Latitude: 53.135032 Longitude: 14.348738 Der Messbalken markiert eine Länge von 50 µm. Die Probe wurde in den Feuchtgebieten des Nationalpark Unteres Odertal (100 km nordöstlich von Berlin) gesammelt. Mikrotechnik: Zeiss Universal, Kamera: Olympus C7070. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthoceras-zachariasii-040-125-P6020260-ODB_NEW.jpg	http://www.protisten.de/gallery-ALL/3-Acanthoceras-spec.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
cb4e05e57f84985f7ee00aff99b8a80c	56a7fcec171be18cf15ae3cb4f742497	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthocystis pectinata The picture shows the two types of actinomorphic siliceous spines (the shorter type is forked, see inset top right) and the tangential scales. Nucleus is clearly shown together with some food vacuoles. Scale bar indicates 25 µm. Sample from sphagnum pond Dosenmoor near Neumuenster (Schleswig-Holstein. Images were taken using Zeiss Universal with Olympus C7070 CCD camera.Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Bog Dosenmoor near Neumuenster (Schleswig-Holstein, Germany) Latitude: 54.136219 Longitude: 10.026433 Das Bild zeigt die beiden Arten der radiären kieselsäurehaltigen Stacheln (der kürzer Typ ist gegabelt, siehe Kasten oben rechts) und die tangentialen Kieselschuppen. Der Zellkern ist deutlich zu sehen, zusammen mit einigen Nahrungsvakuolen. Der Messbalken markiert eine Länge von 25 µm. Probe aus dem Dosenmoor in der Nähe von Neumünster. Mikrotechnik: Zeiss Universal, Kamera: Olympus C7070. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-pectinata-040-200-PB104788-803-DOS_NEW.jpg	http://www.protisten.de/gallery-ALL/4-Acanthocystis-pectinata.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
dc05ae6928803d83121b3cfcbbbb987d	a4e8176de1809d071fa83e2dd03aca22	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthocystis penardi Acanthocystis penardi shows numerous siliceous spines and scales inserting and lying respectively upon the surface of the cell forming the periplast. The nucleus and several narrow axopodia are clearly visible, also a free swimming Salpingoeca species and a Chrysophyta called Chrysopyxis inaequalis fixed on a Tribonema filament with a mucilaginous string. Scale bar indicates 25 µm. Sample from sphagnum pond Dosenmoor near Neumuenster (Schleswig-Holstein, Germany). Images were taken using Zeiss Universal with Olympus C7070 CCD camera.Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Bog Dosenmoor near Neumuenster (Schleswig-Holstein, Germany) Latitude: 54.136219 Longitude: 10.026433 Acanthocystis penardi trägt zahlreiche kieselsäurehaltigen Stacheln und Schuppen, die auf der Oberfläche der Zelle ansetzen bzw. liegen und den Periplast formen. Der Kern und mehrere dünne Axopodien sind deutlich sichtbar, des Weiteren eine frei schwimmende Salpingoeca-Art und eine Chrysophycee namens Chrysopyxis inaequalis, die sich mit einem Gallertfaden auf einem Algenfaden (Tribonema) befestigt hat. Der Messbalken markiert eine Länge von 25 µm. Probe aus dem Dosenmoor in der Nähe von Neumünster. Mikrotechnik: Zeiss Universal, Kamera: Olympus C7070. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-penardi-040-200-PB104690-722-DOS_NEW.jpg	http://www.protisten.de/gallery-ALL/5-Acanthocystis-penardi.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
8671e33c4a0fe52874f7f8ffcb2c893b	a4e8176de1809d071fa83e2dd03aca22	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthocystis penardi Acanthocystis penardi shows numerous siliceous spines and scales inserting and lying respectively upon the surface of the cell forming the periplast. The central body from which all the axopodia originate is clearly visible. Scale bar indicates 25 µm. Sample from sphagnum pond Dosenmoor near Neumuenster (Schleswig-Holstein, Germany). Images were taken using Zeiss Universal with Olympus C7070 CCD camera.Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Bog Dosenmoor near Neumuenster (Schleswig-Holstein, Germany) Latitude: 54.136219 Longitude: 10.026433 Acanthocystis penardi trägt zahlreiche kieselsäurehaltigen Stacheln und Schuppen, die auf der Oberfläche der Zelle ansetzen bzw. liegen und den Periplast formen. Der Zentralkörper, von dem alle Axopodien ausgehen, ist deutlich sichtbar. Der Messbalken markiert eine Länge von 25 µm. Probe aus dem Dosenmoor in der Nähe von Neumünster. Mikrotechnik: Zeiss Universal, Kamera: Olympus C7070. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-penardi-063-200-P6122130-151-DOS-INET800_NEW.jpg	http://www.protisten.de/gallery-ALL/6-Acanthocystis-penardi.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
9f9a087b771bb9d5ffccdce2ef600241	7700a06ff77569068ee5c820482abebd	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthocystis turfacea Scale bar indicates 50 µm.Sample from a wetland at the Pillersee (Tyrol, Austria). The image was built up using several photomicrographic frames with manual stacking technique. Images were taken using Zeiss Universal with Olympus C7070 CCD camera.Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Wetland at the Pillersee (Tyrol, Austria) Latitude: 47.531785 Longitude: 12.573095 Multiebenen-Abbildung, manuell gestapelt. Der Messbalken markiert eine Länge von 50 µm. Probe aus einer Feuchtwiese beim Pillersee in Tirol. Mikrotechnik: Zeiss Universal, Kamera: Olympus C7070. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-turfacea-040-100-P6101405-PIL_NEW.jpg	http://www.protisten.de/gallery-ALL/7-Acanthocystis-turfacea.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
85885a3ac68299f4a3b829a0ac73355b	7700a06ff77569068ee5c820482abebd	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthocystis turfacea Scale bar indicates 50 µm. Sample from Bog Waasenmoos Pass Thurn near Mittersil, Tyrol, Austria. Sampling date 10/2019. The image was built up using several photomicrographic frames with manual stacking technique. Images were taken using Zeiss Axioplan with Olympus OM-D M5 MKII. Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Bog Waasenmoos Pass Thurn near Mittersil (Tyrol, Austria) Latitude: 47.30234117 Longitude: 12.41751194 Multiebenen-Abbildung, manuell gestapelt. Der Messbalken markiert eine Länge von 50 µm. Probe aus dem Waasenmoos bei Pass Thurn Nähe Mittersil, Tirol. Datum der Aufsammlung: 10/2019. Mikrotechnik: Zeiss Axioplan, Kamera: Olympus OM-D M5 MKII. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-turfacea-020-200-2-B089977-90018-transversal-WPT_NEW.jpg	http://www.protisten.de/gallery-ALL/8-Acanthocystis-turfacea.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
e8247039ad28efe8a317a814a9dc40d9	7700a06ff77569068ee5c820482abebd	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Acanthocystis turfacea Scale bar indicates 50 µm. Sample from Bog Waasenmoos Pass Thurn near Mittersil, Tyrol, Austria. Sampling date 10/2019. The image was built up using several photomicrographic frames with manual stacking technique. Images were taken using Zeiss Axioplan with Olympus OM-D M5 MKII. Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Bog Waasenmoos Pass Thurn near Mittersil (Tyrol, Austria) Latitude: 47.30234117 Longitude: 12.41751194 Multiebenen-Abbildung, manuell gestapelt. Der Messbalken markiert eine Länge von 50 µm. Probe aus dem Waasenmoos bei Pass Thurn Nähe Mittersil, Tirol. Datum der Aufsammlung: 10/2019. Mikrotechnik: Zeiss Axioplan, Kamera: Olympus OM-D M5 MKII. Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Acanthocystis-turfacea-020-200-2-B089977-90018-WPT_NEW.jpg	http://www.protisten.de/gallery-ALL/9-Acanthocystis-turfacea.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
49b6138e04bf5eebdf2453a09502959f	b4d6568d6dd83f57140df8d8a301beaa	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Achnanthes spec. Achnanthes spec. living on the plant Cryptocoryne wendtii. Scale bar indicates 25 µm. Sample from a tropical freshwater aquarium. Images were taken using Zeiss Universal with Canon EOS 600D.Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Tropical freshwater aquarium Latitude: 54.3018013 Longitude: 10.07120132 Achnanthes auf der Sumpfpflanze Cryptocoryne wendtii. Der Messbalken markiert eine Länge von 25 µm. Probe aus einem Süßwasseraquarium für tropische Fische. Mikrotechnik: Zeiss Universal, Kamera: Canon EOS 600D.Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Cryptocoryne-wendtii-Achnanthes-040-125-2-IMG-6145-161-025-AQU_NEW.jpg	http://www.protisten.de/gallery-ALL/10-Achnanthes-spec.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
2cc61ebbb4ef419d218b033c57758e10	5b3a9f486706ae2939a3e6d917417e7a	http://purl.org/dc/dcmitype/StillImage	image/jpeg	Achnanthes longipes Two cells with stalk. Digital drawing using 20 frames generating depth of focus, stacked manually. Collected from Bodden, the brackish waters lying between the isles of Hiddensee and Ruegen (German Baltic Sea). This image was taken using Zeiss Universal with Olympus C7070 CCD camera.Image under Creative Commons License V 3.0 (CC BY-NC-SA). Place name: Hiddensee Bodden (Germany) Latitude: 54.582633 Longitude: 13.115051 Zwei Zellen auf einem Gallertstiel. Multiebenen-Abbildung aus 20 Fotos, manuell gestapelt. Probe aus dem Hiddenseer Bodden. Mikrotechnik: Zeiss Universal, Kamera: Olympus C7070.Creative Commons License V 3.0 (CC BY-NC-SA). For permission to use of (high-resolution) images please contact postmaster@protisten.de.	https://www.protisten.de/gallery-ARCHIVE/pics/Achnanthes-longipes-040-100-P9259811-843-2-HID_NEW.jpg	http://www.protisten.de/gallery-ALL/11-Achnanthes-longipes.html	en	http://creativecommons.org/licenses/by-nc-sa/3.0/	Wolfgang Bettighofer	ac4d454fdea0828ea7067cdd85b82cc2
