taxonID	furtherInformationURL	parentNameUsageID	scientificName	higherClassification	EOLid
cca346e3c523a12c1532c45d6de2ad98	http://www.protisten.de/gallery-ALL/2-Acanthoceras-spec.html	chaetocerotales-acanthocerotaceae	Acanthoceras zachariasii	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Chaetocerotales|Acanthocerotaceae	
eucaryota			Eucaryota		
eucaryota-sar_(stramenopiles,_alveolates,_rhizaria)		eucaryota	SAR (Stramenopiles, Alveolates, Rhizaria)	Eucaryota	
sar_(stramenopiles,_alveolates,_rhizaria)-stramenopiles		eucaryota-sar_(stramenopiles,_alveolates,_rhizaria)	Stramenopiles	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)	
stramenopiles-ochrophyta		sar_(stramenopiles,_alveolates,_rhizaria)-stramenopiles	Ochrophyta	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles	
ochrophyta-bacillariophyta		stramenopiles-ochrophyta	Bacillariophyta	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta	
bacillariophyta-coscinodiscophyceae		ochrophyta-bacillariophyta	Coscinodiscophyceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta	
coscinodiscophyceae-coscinodiscophycidae		bacillariophyta-coscinodiscophyceae	Coscinodiscophycidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae	
coscinodiscophycidae-chaetocerotales		coscinodiscophyceae-coscinodiscophycidae	Chaetocerotales	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae	
chaetocerotales-acanthocerotaceae		coscinodiscophycidae-chaetocerotales	Acanthocerotaceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Chaetocerotales	
ddd0f06697e19b1330d5a2fee591b29b	http://www.protisten.de/gallery-ALL/3-Acanthoceras-spec.html	chaetocerotales-acanthocerotaceae	Acanthoceras	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Chaetocerotales|Acanthocerotaceae	
56a7fcec171be18cf15ae3cb4f742497	http://www.protisten.de/gallery-ALL/4-Acanthocystis-pectinata.html	acanthocystida-acanthocystidae	Acanthocystis pectinata	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida|Acanthocystidae	
eucaryota-haptista		eucaryota	Haptista	Eucaryota	
haptista-centroplasthelida		eucaryota-haptista	Centroplasthelida	Eucaryota|Haptista	
centroplasthelida-panacanthocystida		haptista-centroplasthelida	Panacanthocystida	Eucaryota|Haptista|Centroplasthelida	
panacanthocystida-acanthocystida		centroplasthelida-panacanthocystida	Acanthocystida	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida	
acanthocystida-acanthocystidae		panacanthocystida-acanthocystida	Acanthocystidae	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida	
a4e8176de1809d071fa83e2dd03aca22	http://www.protisten.de/gallery-ALL/5-Acanthocystis-penardi.html	acanthocystida-acanthocystidae	Acanthocystis penardi	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida|Acanthocystidae	
7700a06ff77569068ee5c820482abebd	http://www.protisten.de/gallery-ALL/7-Acanthocystis-turfacea.html	acanthocystida-acanthocystidae	Acanthocystis turfacea	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida|Acanthocystidae	
b4d6568d6dd83f57140df8d8a301beaa	http://www.protisten.de/gallery-ALL/10-Achnanthes-spec.html	achnanthales-achnanthaceae	Achnanthes	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae|Achnanthales|Achnanthaceae	
bacillariophyta-bacillariophytina		ochrophyta-bacillariophyta	Bacillariophytina	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta	
bacillariophytina-bacillariophycae		bacillariophyta-bacillariophytina	Bacillariophycae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina	
bacillariophycae-achnanthales		bacillariophytina-bacillariophycae	Achnanthales	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae	
achnanthales-achnanthaceae		bacillariophycae-achnanthales	Achnanthaceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae|Achnanthales	
5b3a9f486706ae2939a3e6d917417e7a	http://www.protisten.de/gallery-ALL/11-Achnanthes-longipes.html	achnanthales-achnanthaceae	Achnanthes longipes	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae|Achnanthales|Achnanthaceae	
57f7bac204917eb1be5eeb57014e4409	http://www.protisten.de/gallery-ALL/19-Achromatium-oxaliferum.html	thiotrichales-thiotrichaceae	Achromatium oxaliferum	Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Thiotrichaceae	
bacteria			Bacteria		
bacteria-proteobacteria		bacteria	Proteobacteria	Bacteria	
proteobacteria-gammaproteobacteria		bacteria-proteobacteria	Gammaproteobacteria	Bacteria|Proteobacteria	
gammaproteobacteria-thiotrichales		proteobacteria-gammaproteobacteria	Thiotrichales	Bacteria|Proteobacteria|Gammaproteobacteria	
thiotrichales-thiotrichaceae		gammaproteobacteria-thiotrichales	Thiotrichaceae	Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales	
e56fff686a66be5977bdd8d0a44d8ba1	http://www.protisten.de/gallery-ALL/21-Acineta-spec.html	endogenida-acinetidae	Acineta spec	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida|Acinetidae	
sar_(stramenopiles,_alveolates,_rhizaria)-alveolata		eucaryota-sar_(stramenopiles,_alveolates,_rhizaria)	Alveolata	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)	
alveolata-ciliophora		sar_(stramenopiles,_alveolates,_rhizaria)-alveolata	Ciliophora	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata	
ciliophora-intramacronucleata		alveolata-ciliophora	Intramacronucleata	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora	
intramacronucleata-phyllopharyngea		ciliophora-intramacronucleata	Phyllopharyngea	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata	
phyllopharyngea-suctoria		intramacronucleata-phyllopharyngea	Suctoria	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea	
suctoria-endogenida		phyllopharyngea-suctoria	Endogenida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria	
endogenida-acinetidae		suctoria-endogenida	Acinetidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida	
a2e6bc7f3bdded651aa07e5adddd89e3	http://www.protisten.de/gallery-ALL/22-Acineta-flava.html	endogenida-acinetidae	Acineta flava	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida|Acinetidae	
15b5e67f3734d1829f0a5cc9d7293590	http://www.protisten.de/gallery-ALL/23-Acineta-tuberosa.html	endogenida-acinetidae	Acineta tuberosa	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida|Acinetidae	
19326d9125c5b1c8bc2ca1517368b3e9	http://www.protisten.de/gallery-ALL/31-Actinophrys-sol.html	stramenopiles-actinophryidae	Actinophrys sol	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Actinophryidae	
