taxonID	EOLid
Q1001350	52212033
Q101419687	23682
Q101422287	61397
Q101680	6747
Q1017217	47111006
Q101823120	46702861
Q102071674	new
Q1021004	3102223
Q1021710	652
Q102178552	46981909
Q102178560	47034407
Q102178632	78741
Q1023525	11161850
Q10264780	47110739
Q10265467	47108190
Q10266694	47125966
Q10272012	47146528
Q10272821	92394
Q10273261	35045
Q10273546	47136433
Q10273633	46778932
Q1027450	52504749
Q102778	69
Q10281141	47139647
Q10282775	91116
Q10288175	47153896
Q10290514	47138326
Q10290842	48884
Q10293926	47141342
Q10293927	56133
Q10294936	61338
Q10295209	47141421
Q10313764	47113247
Q10313945	47154181
Q1031569	2874844
Q1031578	2906805
Q10316234	47156245
Q10316826	47123584
Q10317689	95765
Q10319525	47110800
Q10319711	3817371
Q10322879	47141434
Q10323002	new
Q10323282	3741857
Q10328860	48625
Q10329612	47131414
Q10336334	new
Q10336761	5119667
Q1033709	72913
Q10340124	47122902
Q10342694	47124692
Q10344521	50579
Q10344604	31872
Q10346420	46507467
Q10348377	47153234
Q10348914	15116
Q10349755	4898183
Q10349887	47111005
Q10350751	46779749
Q10355388	47160308
Q10364027	33092
Q10364028	47157271
Q10365407	47155872
Q10368869	92437
Q10368875	new
Q10380973	69378
Q10383989	4581518
Q10385261	47126005
Q103888423	new
Q1039125	39916339
Q10393653	29528
Q1039531	45518489
Q10398744	29081
Q10398843	4219666
Q10400450	33837
Q10405283	19604
Q10407142	46975632
Q10408025	2639159
Q10409200	46712026
Q10411035	10946
Q10411490	87799
Q10413099	46721886
Q10415628	86436
Q10418846	3022295
Q10420904	46705711
Q10424112	3394452
Q10428667	16379
Q10433511	19646
Q104375067	38999364
Q1043776	47113868
Q104386688	245603
Q10439154	47484675
Q10439800	100876
Q10441412	46551452
Q104415112	90880
Q104437614	47143549
Q10445712	22178447
Q10447771	46724206
Q10450220	7703462
Q10450291	46724248
Q10453294	18340
Q10455113	46245
Q10455938	46720826
Q10456303	30733
Q10456684	37521
Q10456928	23067
Q10458950	99726
Q10459652	46584170
Q10460838	87886
Q10461472	46522378
Q10462009	46704041
Q10463631	58868
Q10466286	54067
Q10467718	100188
Q10469005	102860
Q10469546	new
Q10470938	46941440
Q10471547	46725262
Q10471722	46725155
Q10473535	19086
Q10473687	3691302
Q10473871	new
Q10474288	46493885
Q10476157	521538
Q10479132	2948566
Q10481115	46708684
Q104812973	38831388
Q104859234	41948077
Q104859236	41948077
Q10487278	50273
Q10487772	6464667
Q10490198	5826099
Q10490434	46723849
Q104921012	5555698
Q10492414	51998
Q10492549	46481124
Q10494364	51897
Q10495843	6549210
Q10495845	488236
Q10498225	71970
Q104993381	73184
Q10502812	60660
Q10503318	46544732
Q105037471	62066
Q1050525	45511005
Q105055966	46705104
Q105072907	46724789
Q10507869	46725084
Q10509048	22320
Q10511173	34931
Q105134192	46724721
Q10515586	46724485
Q10516070	47407132
Q10517377	2880369
Q105183950	55642487
Q105187046	52266
Q105209634	1142352
Q10521176	46706676
Q10521895	32196
Q10521929	46724208
Q10521933	105115
Q10523214	new
Q10523231	86046
Q10523580	21417
Q10523774	6630207
Q10523804	46724406
Q10524484	46724400
Q10524991	36801
Q10527047	3019890
Q10527870	46704591
Q105320684	52504086
Q10536635	43546
Q10539549	46724338
Q10542603	new
Q105436963	29377
Q10543799	6792359
Q105483796	new
Q10548669	102741
Q105548127	52201793
Q10555463	46715976
Q10556344	new
Q10561004	87128
Q10561480	3019942
Q10562501	46725075
Q105637464	29057
Q10567502	51516295
Q1056752	53506
Q10568141	3704746
Q105688033	5156210
Q10573546	4219642
Q105737519	46556162
Q105738211	46555917
Q105739528	46556233
Q105750415	21267
Q105753545	9091356
Q105753550	9091357
Q105753562	9091360
Q105753916	37671728
Q105753946	37671788
Q105754188	18607033
Q105755573	51891970
Q105755604	51891966
Q105755665	46481796
Q105755763	9091107
Q105757188	46481663
Q105757189	46481690
Q105757257	37672858
Q105757283	35323760
Q105757284	35323761
Q105757365	51891928
Q105770393	16365
Q10577987	46720094
Q10578072	new
Q10578463	3741267
Q10580125	49177953
Q10581618	new
Q10583427	46724909
Q10583945	21830
Q10584261	19500
Q10584302	101453
Q10585292	16582
Q105858557	47038301
Q105858574	47038312
Q105858587	47038308
Q105858611	28626335
Q105858628	47038276
Q105858641	47038326
Q105858665	47038293
Q105858681	47038277
Q105858722	47038295
Q105858739	47038285
Q105858756	47038280
Q105858774	47038298
Q105858791	47038290
Q105858804	47038324
Q105858836	47038289
Q105858853	47038286
Q105858868	47038257
Q105858879	47038300
Q105867858	51887564
Q105870741	50932618
Q1058732	52185892
Q10587583	46721833
Q10588774	51890
Q10589117	56431
Q10590566	46710721
Q10592109	2908633
Q10594225	85625
Q10597107	new
Q1060039	45513010
Q10600580	1017160
Q106019835	450558
Q10603721	47140183
Q10605965	95228
Q10608771	3028912
Q10610344	37373
Q1061117	37240
Q106131678	3362383
Q10613776	86041
Q10614409	74419
Q10615874	18356
Q10616544	new
Q10619552	2960974
Q10621659	32214
Q10621763	19109
Q10621802	22965
Q10621808	new
Q106223222	55893
Q106233081	85990
Q10623728	46712325
Q10625063	63490
Q10627166	21294
Q106292427	new
Q10630291	9889
Q10630322	87467
Q10631751	613039
Q106318178	new
Q106318206	new
Q10632803	99454
Q10632839	46811258
Q10632934	86042
Q106345	4666
Q10635103	46724535
Q10636868	46711399
Q10641458	46724349
Q10641760	613289
Q10644170	new
Q10645546	33519
Q10645751	46723935
Q10646700	46724627
Q10647043	99858
Q10647059	3134813
Q106476457	new
Q106485201	62057
Q10648691	3694595
Q10650623	46765249
Q10652175	1131895
Q10653188	new
Q10653209	46774505
Q10653225	46710724
Q1065400	45413
Q106557780	51534282
Q10657654	46724755
Q10657905	33696
Q1065926	68567
Q10660246	46724878
Q106624174	new
Q10662444	46724440
Q10663119	1175698
Q106635153	52773987
Q10663518	47142755
Q10663673	46772207
Q10663787	61441
Q10668193	89677
Q10675002	37241
Q10675024	86085
Q10681601	99248
Q10682573	53666191
Q106840446	new
Q106847554	22225
Q106866497	51516009
Q106874783	23379
Q106876880	23379
Q10689762	49336
Q10690172	1016498
Q10693739	new
Q106966937	51517080
Q10697444	46724782
Q107026810	71970
Q10703726	100049
Q10703766	new
Q107084050	47467643
Q10712177	52207860
Q107126674	52223603
Q10713827	52629
Q1071397	47140972
Q107143241	52223652
Q107143482	52223656
Q107160938	42832
Q10716283	46940668
Q10716655	19631
Q107171783	52223498
Q107189877	21547
Q10719142	new
Q10719612	6795355
Q107198295	54251
Q10720275	23001
Q10721946	12757
Q10722047	new
Q10722449	46940521
Q10723956	47018307
Q10724077	46940569
Q10724506	46723832
Q107251411	33948461
Q107251448	13879868
Q107253904	46538720
Q107254066	45502041
Q107255915	51896078
Q107274290	51848231
Q107274447	new
Q107274474	52236156
Q107274500	new
Q10727828	1123508
Q107278979	46708178
Q107279559	100149
Q107282577	47013189
Q1072845	47145598
Q107285244	46706402
Q107287670	60001374
Q107289066	4913535
Q107289070	new
Q107290857	29377
Q107306411	4903866
Q107307138	4915117
Q107307702	52583133
Q107307911	52583321
Q107308596	new
Q107309736	59867773
Q107311711	46724173
Q107312294	46485268
Q107313535	55105115
Q107394656	55549388
Q1074203	2889958
Q107460510	52252202
Q107460512	52252245
Q10747940	21176987
Q107485990	52247129
Q1075697	33045
Q107578913	5168806
Q107623117	49892229
Q107630350	2568151
Q10767124	29705
Q10774330	111029
Q10785091	46779189
Q107894515	46722297
Q10793136	4323820
Q10793359	920178
Q10793774	28391
Q108002251	52246770
Q10801058	46527252
Q10807688	5813593
Q10812327	new
Q108144261	6341836
Q108203745	30060
Q1082208	45513170
Q108264914	99158
Q10826825	76133
Q108367251	91837
Q108543272	50511
Q108603248	36630
Q10865501	2889305
Q10872	7920
Q108733109	45021
Q108740686	12554
Q108749760	46908073
Q10876	288
Q108761592	new
Q108770950	new
Q10877521	2887267
Q108779990	new
Q108781621	51856923
Q10878179	2884633
Q10880344	5348380
Q10880857	2889962
Q10881359	7019905
Q10881420	2889839
Q1088227	47136441
Q1088638	2872570
Q10888228	2892904
Q10888267	6211723
Q10888521	5348306
Q10890109	2890352
Q10890119	2885217
Q10890771	2889692
Q10901046	48890639
Q10901048	5235600
Q10901704	2872897
Q10905366	2907070
Q10905736	2891073
Q10905922	33533604
Q10906294	2889407
Q1090654	356
Q10910776	7020028
Q10910936	50428608
Q10914824	2889138
Q10914932	648243
Q10914996	2905575
Q10923697	2887147
Q10924837	2874523
Q10924975	5348444
Q10926353	50232843
Q10928954	648352
Q10933363	2891017
Q10933986	2906792
Q10934124	2887069
Q1093641	46705708
Q10937849	491467
Q109471800	1141981
Q109497868	1133193
Q109516951	1092325
Q109517043	1092374
Q10951877	645771
Q109519573	1098193
Q109524392	1099420
Q109577881	591682
Q10958266	661323
Q10959168	2888805
Q10959642	1109731
Q109597508	47141400
Q109606132	6260755
Q109620927	47141511
Q109622263	50263480
Q109665807	47141561
Q109667018	50262311
Q109667428	6272529
Q109668167	6240160
Q109678353	6250387
Q109683532	6181321
Q109691995	6205937
Q109692149	6205992
Q109692940	5325344
Q109725770	6248922
Q109746804	56992
Q109958863	638573
Q109959233	417096
Q110020676	5441571
Q110065070	5370377
Q110080143	5378617
Q110134789	47123423
Q1102504	46544027
Q11035500	44921
Q110383076	50202415
Q110393873	50207092
Q110437387	1120177
Q110457926	51856870
Q11046022	2889120
Q110469283	50415638
Q110476935	47159135
Q110477009	50415633
Q11047869	2872574
Q11049603	6095840
Q110509760	2508652
Q110514625	5450078
Q110515389	5450742
Q110532856	49869634
Q11055925	6098849
Q11057450	47113963
Q11058441	1151632
Q11060530	50225040
Q11066007	5348450
Q11066167	2907664
Q11071101	648452
Q11077312	46473359
Q11080253	6215079
Q11085703	49272116
Q11090788	2894053
Q11095101	47467630
Q11108599	644268
Q11108606	794611
Q11111706	229832
Q11117460	47107186
Q11117470	2906359
Q11127759	2889932
Q11128050	47121686
Q11152837	2889880
Q11163109	11358771
Q11175093	2891318
Q11175104	1148436
Q1117674	46450713
Q11177484	2896020
Q11177752	649007
Q11178934	6099588
Q11180388	482652
Q11180389	47117458
Q11273546	2906785
Q11287281	2895379
Q1129673	586663
Q11325659	2889915
Q1132580	483851
Q11344344	51506206
Q11353834	60235
Q1135987	46974508
Q1137709	5768
Q1139026	488289
Q114264	47123668
Q1143109	47073169
Q1146853	295
Q1147292	7728
Q1147907	967079
Q114906	47109654
Q11512502	46547247
Q115850	43003
Q115924	47154552
Q115951	80863
Q1163100	30006
Q116312	47160657
Q116317	34611
Q1166136	645300
Q11680616	47127839
Q11681195	45411
Q11682095	93311
Q11686897	631131
Q11688817	47139791
Q1171483	13126
Q117160	50788
Q1172479	89102
Q11756901	45515745
Q117944	114216
Q11840929	46524325
Q11841382	41770
Q11841744	3201688
Q11843192	49331
Q11844549	46526444
Q11846369	46504494
Q11846483	43836
Q11846776	46524284
Q11847999	46498302
Q1186181	594413
Q11874035	923368
Q11878382	47458427
Q11891603	583234
Q118979	47053991
Q11906763	new
Q11913680	55702475
Q11917119	new
Q11937568	new
Q11941294	new
Q11941395	new
Q11943213	new
Q11950884	new
Q11962637	46795921
Q11967628	44949
Q11976970	103955
Q11990402	33890477
Q12015642	46940639
Q12036450	5839625
Q1205104	47110672
Q1209011	47073144
Q12155951	75246
Q12181305	47181555
Q12229821	new
Q12230776	50555784
Q1225000	20800
Q1226326	2760658
Q1226333	47135223
Q1227267	44463928
Q12309040	2890132
Q12311673	47130904
Q12323064	14008
Q123279	47117526
Q1239020	642730
Q1241332	15607
Q1245908	5525783
Q12589458	46472371
Q12605440	46701236
Q12652693	7803
Q12662009	23567
Q12676790	47175971
Q12723971	11388
Q1278160	6853126
Q1280400	5176638
Q1281175	861703
Q128410	3472255
Q12858588	33618
Q129324	107742
Q12966979	46588058
Q1300407	1665
Q130071	46571154
Q1301631	107454
Q1301809	29515
Q1302736	1033700
Q1303705	36122
Q1303818	47162253
Q1304192	46762784
Q1304287	19981
Q1304844	46471047
Q130515	2908824
Q13055726	52549229
Q1306244	47114994
Q13077189	47122127
Q1308636	47113391
Q130914	7861
Q130918	47143055
Q130942	47048248
Q130948	new
Q1309997	47116749
Q131113	47118473
Q131143	46587985
Q1311833	44467
Q131224	47150398
Q131238	2912748
Q131307	975678
Q131393	47043876
Q1314162	27626
Q131492	33355
Q1316092	46707514
Q131614	47106489
Q13172138	16883959
Q131726	47133527
Q131810	3221839
Q13182	47126025
Q131825	5406365
Q1318931	47114028
Q1319524	24731
Q132102	47133525
Q1321860	61195
Q13222440	41599105
Q13222450	100601
Q132229	97448
Q13223068	46509002
Q132231	47182442
Q13230437	6745975
Q1323513	47121409
Q1324000	47124991
Q132434	47181912
Q1325847	8894907
Q1328868	47156989
Q132967	47149626
Q132993	1122177
Q132995	46587997
Q133017	11612
Q133101	29124
Q1332124	2903441
Q133249	10510133
Q133289	29413
Q133340	46571632
Q133481	584705
Q133680	45315475
Q1336872	47126261
Q133726	47162548
Q13374142	52261109
Q133759	29410
Q133781	29515
Q13380223	860972
Q1338026	2878269
Q133831	23602
Q133840	29684
Q133850	583361
Q1338573	71140
Q1338922	47140161
Q1339034	62013
Q13393273	47155493
Q133985	47133959
Q134036	47122179
Q13419378	46555249
Q13422103	35533
Q13428956	46941654
Q13429992	111892
Q13430251	676
Q13431496	47044941
Q1343178	47141596
Q13441883	39290437
Q13445881	1020394
Q13445884	340053
Q134459	72683
Q13453423	new
Q13454554	12042637
Q13469206	46780212
Q134723	47146638
Q134748	61783
Q13474842	47081787
Q134769	47132440
Q134858	52756667
Q13489005	46929951
Q1349731	7808
Q13497334	43618912
Q13499697	5608745
Q13503196	46505824
Q13518423	12132059
Q135292	973024
Q13530935	52221101
Q135352	36120
Q135404	47116666
Q13541836	107492
Q135431	47738
Q13551263	71320
Q1355580	6405494
Q135584	4876
Q13563605	47120679
Q13568724	47177221
Q13571068	57953424
Q13576190	86609
Q135769	30092
Q135776	29308
Q13583103	87193
Q13584698	4976336
Q135848	41429
Q13587641	339091
Q13587658	340848
Q13588739	21245
Q13593841	4976236
Q13602871	64452
Q13610559	43178699
Q1361452	46796202
Q13615012	46787766
Q13616578	739211
Q13618392	51861013
Q136216	35698
Q13625626	803566
Q1362672	104090
Q13630041	47132341
Q13646043	new
Q13652998	53532
Q1366773	67895
Q1367040	59671
Q1367265	46788631
Q13674667	45515490
Q136763	404509
Q136941	64132
Q136985	45516401
Q137039	29873
Q13726496	32019
Q13728545	29284
Q137309	47157299
Q137318	33293
Q1375121	46788527
Q13756402	21978
Q1375816	new
Q137605	47120385
Q13765499	82066
Q137989	111063
Q138277	33910
Q1384569	35846
Q13845810	96342
Q13845812	57920182
Q13846219	46800312
Q13847289	46803075
Q13849510	54842
Q13862837	45728
Q138735	47129608
Q1387987	320285
Q1388126	37998
Q13890759	47334
Q13891895	17304
Q13908487	new
Q13922834	581888
Q139521	25137
Q13957201	106108
Q13974146	106230
Q13976845	87878
Q139777	6382374
Q13989652	87839
Q14003201	46534562
Q14009102	45424320
Q14021182	51547567
Q14025976	87879
Q14027417	99516
Q140563	42613870
Q140812	47130469
Q14087081	46553788
Q14089912	46706696
Q141042	47148572
Q14108362	106120
Q14117496	92757
Q141245	29270
Q141307	60424
Q14131449	378685
Q141370	6853125
Q141397	72858
Q14148226	46806038
Q14150303	32205
Q141575	110661
Q14158230	46940137
Q14164423	19788
Q141684	47161330
Q14173687	736442
Q14173688	736444
Q14178851	28670
Q14179474	736521
Q14179483	736522
Q1421921	46565915
Q1424478	46545576
Q142492	47160423
Q142507	30203
Q142705	973367
Q142916	47111151
Q143012	487525
Q14302668	47171726
Q1431083	133642
Q14315808	4565648
Q143254	47130180
Q14326374	28262
Q14330981	87379
Q14340954	46506233
Q143441	47049256
Q14367852	39941727
Q14373491	47121535
Q143760	4704916
Q14381777	12075429
Q144014	47011808
Q14411958	34992
Q14413043	79603
Q14417529	87994
Q1441971	5348453
Q14425887	49846992
Q14427148	46559518
Q144428	47140517
Q14445338	new
Q144576	2519587
Q14466450	40526
Q14476900	new
Q14492055	47163138
Q14496656	732753
Q14497567	46701508
Q14497572	new
Q14499670	84169
Q14499673	73373
Q14507641	new
Q14510016	new
Q14510607	3771516
Q14510792	56570
Q14512310	46808861
Q14512311	80997
Q14517000	46941927
Q14522036	3783381
Q14527715	93071
Q14530399	47157801
Q14531253	4877847
Q14531584	49876026
Q14537682	49616
Q14537748	new
Q14541586	56642
Q145429	47047108
Q14544093	50867
Q14545159	11741
Q14556518	54989
Q14558955	5403164
Q145872	47123400
Q14593286	55990
Q145936	46074272
Q14593624	56090
Q14594584	46942255
Q1460935	47127845
Q146095	47108543
Q14613121	46804307
Q1461699	47113931
Q14617590	739711
Q14619716	61919
Q146212	583899
Q14622124	46806876
Q14622719	new
Q14622752	63541
Q14625413	61027
Q14625873	46819445
Q14626464	7786736
Q14628302	74283
Q14630518	4860888
Q14632072	63617
Q14632906	new
Q14641706	29830
Q14643448	new
Q14644096	46565011
Q14646730	new
Q1465338	46511988
Q14667561	75900
Q14675085	new
Q14676199	83024
Q14676528	59367
Q14676966	765542
Q14677716	765539
Q14678680	56636
Q14683315	85381
Q14683832	54898
Q14689457	46805002
Q14689904	45248131
Q14694213	80365
Q14694936	60888
Q146967	583654
Q146983	47129572
Q147035	5551722
Q147044	65006
Q14711629	706849
Q147176	629935
Q1472735	586920
Q14730552	81909
Q147348	22319
Q14738701	83672
Q14759694	47180439
Q147877	46837289
Q1481827	2873647
Q1482244	13997
Q14825990	new
Q14826317	11470
Q148336	59537
Q148347	581071
Q14835116	11093
Q14836240	9702
Q14841450	9924
Q14845341	11007
Q14847179	12158
Q14852604	47121176
Q148652	70879
Q14867229	96129
Q14867233	46780367
Q148675	703436
Q14871805	17268
Q14872139	18322
Q14874214	36321
Q148757	11440
Q14881798	1042885
Q14883045	1043685
Q14884412	46854311
Q14884935	29490
Q14886137	16960
Q14888567	110619
Q148938	43956
Q14898092	36355
Q149031	47182486
Q14905280	83701
Q14924321	65883
Q14925342	76811
Q14925646	new
Q14925689	77409
Q14925909	77569
Q14926010	29693
Q14926035	73642
Q14926080	65450
Q14926425	13181300
Q14926743	84195
Q14926790	29852
Q14926848	84341
Q14927235	new
Q14927368	47165458
Q14932390	3267361
Q14933570	110277
Q14943705	23560
Q149459	23809576
Q14950523	46817482
Q14954298	188601
Q149643	585546
Q1497039	24617
Q149886	47120610
Q149927	47178764
Q150162	8812261
Q15017992	42738
Q150436	57964648
Q15055223	47140714
Q150572	39839650
Q150667	46830620
Q1506945	47149292
Q15100136	47142315
Q15102091	19415
Q15102443	47134712
Q15110778	108631
Q15111312	47105686
Q15119464	79246
Q15126986	47127787
Q15133461	50535
Q15138811	108232
